"conv","err","excl","lim","near","Total","solver"
89,0,4,2,0,95,"PAJ_Gurobi_MOSEK"
92,0,2,1,0,95,"PAJ_Gurobi_MOSEK_msd"
88,4,2,1,0,95,"PAJ_Gurobi_MOSEK_msd_noinit"
60,7,7,12,9,95,"PAJ_Gurobi_MOSEK_msd_noscale_subponly_noinit"
67,7,3,14,4,95,"PAJ_Gurobi_MOSEK_msd_scale_subponly_noinit"
76,7,2,9,1,95,"PAJ_Gurobi_MOSEK_msd_subponly_noinit"
88,3,3,1,0,95,"PAJ_Gurobi_MOSEK_noinit"
63,12,4,12,4,95,"PAJ_Gurobi_MOSEK_noscale_subponly_noinit"
69,14,3,9,0,95,"PAJ_Gurobi_MOSEK_scale_subponly_noinit"
72,12,2,8,1,95,"PAJ_Gurobi_MOSEK_subponly_noinit"
84,0,10,1,0,95,"PAJ_Gurobi_msd_sep"
84,0,10,1,0,95,"PAJ_Gurobi_sep"
