PAJ_CBC_ECOS robust_30_0.cbf # Integer infeasible
SCIP_MISOCP achtziger_stolpe06-6.1flowc.cbf # Inconsistent objval
PAJ_CBC_ECOS achtziger_stolpe07-5.2flowc.cbf # Inconsistent objval
PAJ_CBC_ECOS achtziger_stolpe07-5.3flowc.cbf # Inconsistent objval
CPLEX_MISOCP ck_n50_m10_o1_5.cbf # Inconsistent objval
BONMIN_BB ck_n50_m20_o1_5.cbf # Inconsistent objval
CPLEX_MISOCP ck_n50_m20_o3_5.cbf # Inconsistent objval
PAJ_CBC_ECOS ck_n75_m10_o1_5.cbf # Inconsistent objval
PAJ_CBC_ECOS ck_n75_m10_o5_5.cbf # Inconsistent objval
PAJ_CBC_ECOS ck_n75_m20_o3_5.cbf # Inconsistent objval
PAJ_CBC_ECOS ck_n75_m20_o5_5.cbf # Inconsistent objval
PAJ_CPLEX_MOSEK clay0205h.cbf # Inconsistent objval
BONMIN_BB clay0303h.cbf # Inconsistent objval
PAJ_CPLEX_MOSEK clay0303h.cbf # Inconsistent objval
BONMIN_OA estein4_nr22.cbf # Inconsistent objval
BONMIN_OADIS estein4_nr22.cbf # Inconsistent objval
CPLEX_MISOCP pp-n100-d10000.cbf # Inconsistent objval
BONMIN_BB sssd-weak-20-4.cbf # Inconsistent objval
PAJ_CBC_ECOS stolpe07-8.2flowc.cbf # Inconsistent objval
