instance_type,command
m4.xlarge,PAJ_CPLEX_MOSEK_dualonlynopresolve 3600 14000000 instancedata/cblib-soc/ instancesets/setA.txt
m4.xlarge,PAJ_CPLEX_MOSEK_dualonlynopresolve 3600 14000000 instancedata/cblib-soc/ instancesets/setB.txt
m4.xlarge,PAJ_CPLEX_MOSEK_dualonlynopresolve 3600 14000000 instancedata/cblib-soc/ instancesets/setC.txt
m4.xlarge,PAJ_CPLEX_MOSEK_dualonlynopresolve 3600 14000000 instancedata/cblib-soc/ instancesets/setD.txt
m4.xlarge,PAJ_CPLEX_MOSEK_dualonlynopresolve 3600 14000000 instancedata/cblib-soc/ instancesets/setE.txt
m4.xlarge,PAJ_CPLEX_MOSEK_dualonlynoscalenopresolve 3600 14000000 instancedata/cblib-soc/ instancesets/setA.txt
m4.xlarge,PAJ_CPLEX_MOSEK_dualonlynoscalenopresolve 3600 14000000 instancedata/cblib-soc/ instancesets/setB.txt
m4.xlarge,PAJ_CPLEX_MOSEK_dualonlynoscalenopresolve 3600 14000000 instancedata/cblib-soc/ instancesets/setC.txt
m4.xlarge,PAJ_CPLEX_MOSEK_dualonlynoscalenopresolve 3600 14000000 instancedata/cblib-soc/ instancesets/setD.txt
m4.xlarge,PAJ_CPLEX_MOSEK_dualonlynoscalenopresolve 3600 14000000 instancedata/cblib-soc/ instancesets/setE.txt
