instance_type,command
m4.xlarge,CPLEX_MISOCP 60 14000000 instancedata/cblib-soc/ instancesets/setA.txt
m4.xlarge,CPLEX_MISOCP 60 14000000 instancedata/cblib-soc/ instancesets/setB.txt
m4.xlarge,CPLEX_MISOCP 60 14000000 instancedata/cblib-soc/ instancesets/setC.txt
m4.xlarge,CPLEX_MISOCP 60 14000000 instancedata/cblib-soc/ instancesets/setD.txt
m4.xlarge,CPLEX_MISOCP 60 14000000 instancedata/cblib-soc/ instancesets/setE.txt
m4.xlarge,PAJ_CPLEX_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setA.txt
m4.xlarge,PAJ_CPLEX_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setB.txt
m4.xlarge,PAJ_CPLEX_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setC.txt
m4.xlarge,PAJ_CPLEX_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setD.txt
m4.xlarge,PAJ_CPLEX_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setE.txt
m4.xlarge,PAJ_NEW_MSD_CPLEX_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setA.txt
m4.xlarge,PAJ_NEW_MSD_CPLEX_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setB.txt
m4.xlarge,PAJ_NEW_MSD_CPLEX_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setC.txt
m4.xlarge,PAJ_NEW_MSD_CPLEX_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setD.txt
m4.xlarge,PAJ_NEW_MSD_CPLEX_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setE.txt
m4.xlarge,PAJ_CPLEX_tols_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setA.txt
m4.xlarge,PAJ_CPLEX_tols_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setB.txt
m4.xlarge,PAJ_CPLEX_tols_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setC.txt
m4.xlarge,PAJ_CPLEX_tols_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setD.txt
m4.xlarge,PAJ_CPLEX_tols_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setE.txt
m4.xlarge,PAJ_NEW_MSD_CPLEX_tols_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setA.txt
m4.xlarge,PAJ_NEW_MSD_CPLEX_tols_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setB.txt
m4.xlarge,PAJ_NEW_MSD_CPLEX_tols_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setC.txt
m4.xlarge,PAJ_NEW_MSD_CPLEX_tols_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setD.txt
m4.xlarge,PAJ_NEW_MSD_CPLEX_tols_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setE.txt
m4.xlarge,PAJ_PRAS_CPLEX_tols_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setA.txt
m4.xlarge,PAJ_PRAS_CPLEX_tols_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setB.txt
m4.xlarge,PAJ_PRAS_CPLEX_tols_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setC.txt
m4.xlarge,PAJ_PRAS_CPLEX_tols_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setD.txt
m4.xlarge,PAJ_PRAS_CPLEX_tols_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setE.txt
m4.xlarge,PAJ_PRAS_NEW_MSD_CPLEX_tols_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setA.txt
m4.xlarge,PAJ_PRAS_NEW_MSD_CPLEX_tols_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setB.txt
m4.xlarge,PAJ_PRAS_NEW_MSD_CPLEX_tols_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setC.txt
m4.xlarge,PAJ_PRAS_NEW_MSD_CPLEX_tols_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setD.txt
m4.xlarge,PAJ_PRAS_NEW_MSD_CPLEX_tols_MOSEK 60 14000000 instancedata/cblib-soc/ instancesets/setE.txt
