WARNING: Method definition require(Symbol) in module Base at loading.jl:345 overwritten in module ConicBenchmarkUtilities at /home/ubuntu/.julia/v0.5/Requires/src/require.jl:12.
Bonmin 1.8.2 using Cbc 2.9.8 and Ipopt 3.12.1
bonmin: bonmin.algorithm="B-BB"
bonmin.time_limit=3600.0
halt_on_ampl_error=yes
bonmin.allowable_fraction_gap=1.0e-5
bonmin.oa_log_level=1
bonmin.bb_log_level=1


******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I             1         OPT 228.59085      388 39.124
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I             1         OPT 1132.8131       21 2.196
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I             1         OPT 1132.8131       20 1.9
Cbc0012I Integer solution of 1132.8131 found by DiveMIPFractional after 0 iterations and 0 nodes (5.90 seconds)
NLP0014I             2         OPT 242.89842      274 240.664
NLP0014I             3         OPT 237.66205       25 2.496
NLP0014I             4         OPT 238.95666      348 552.152
NLP0014I             5         OPT 249.35893       21 2.02
NLP0014I             6         OPT 241.9292      192 213.776
NLP0014I             7         OPT 241.3538       21 1.956
NLP0014I             8         OPT 241.55863      231 170.88
NLP0014I             9         OPT 246.56376       21 1.956
NLP0014I            10         OPT 237.64554     1621 275.884
NLP0014I            11         OPT 248.83427       23 2.18
NLP0014I            12         OPT 238.05181      102 34.152
NLP0014I            13         OPT 250.02273       22 2.152
NLP0014I            14         OPT 237.33474      231 92.516
NLP0014I            15         OPT 264.4343       20 2.084
NLP0014I            16         OPT 238.6515       26 3.524
NLP0014I            17         OPT 272.07191       22 2.108
NLP0014I            18         OPT 237.90298      174 61.66
NLP0014I            19         OPT 275.51933       26 2.476
NLP0014I            20         OPT 236.35462      293 332.892
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I            21         OPT 278.62705       26 2.456
NLP0014I            22         OPT 239.40561      110 36.256
