presolving:
(round 1, fast)       203 del vars, 603 del conss, 0 add conss, 1404 chg bounds, 0 chg sides, 0 chg coeffs, 1 upgd conss, 0 impls, 0 clqs
(round 2, fast)       203 del vars, 603 del conss, 0 add conss, 1710 chg bounds, 0 chg sides, 0 chg coeffs, 2 upgd conss, 0 impls, 0 clqs
(round 3, fast)       203 del vars, 603 del conss, 0 add conss, 1781 chg bounds, 0 chg sides, 0 chg coeffs, 2 upgd conss, 0 impls, 0 clqs
(round 4, fast)       203 del vars, 603 del conss, 0 add conss, 1828 chg bounds, 0 chg sides, 33 chg coeffs, 2 upgd conss, 0 impls, 0 clqs
(round 5, fast)       203 del vars, 603 del conss, 0 add conss, 1830 chg bounds, 0 chg sides, 37 chg coeffs, 2 upgd conss, 0 impls, 0 clqs
(round 6, exhaustive) 203 del vars, 603 del conss, 0 add conss, 1830 chg bounds, 0 chg sides, 38 chg coeffs, 202 upgd conss, 0 impls, 0 clqs
(round 7, exhaustive) 203 del vars, 603 del conss, 0 add conss, 1830 chg bounds, 0 chg sides, 38 chg coeffs, 203 upgd conss, 200 impls, 0 clqs
   (0.1s) probing: 51/200 (25.5%) - 0 fixings, 0 aggregations, 0 implications, 0 bound changes
   (0.1s) probing aborted: 50/50 successive totally useless probings
presolving (8 rounds: 8 fast, 3 medium, 3 exhaustive):
 203 deleted vars, 603 deleted constraints, 0 added constraints, 1830 tightened bounds, 0 added holes, 0 changed sides, 38 changed coefficients
 200 implications, 0 cliques
presolved problem has 600 variables (200 bin, 0 int, 0 impl, 400 cont) and 403 constraints
    200 constraints of type <varbound>
      1 constraints of type <knapsack>
    201 constraints of type <linear>
      1 constraints of type <quadratic>
Presolving Time: 0.08

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************


  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
T     1 |     0 |   201 |     - |  25M|-1.193800e+01 |-1.465106e-02 |  Large 
      1 |     0 |   412 |     - |  25M|-2.471250e-01 |-1.465106e-02 |1586.74%
k     1 |     0 |   412 |     - |  25M|-2.471250e-01 |-6.586712e-02 | 275.19%
      1 |     0 |   441 |     - |  25M|-2.290138e-01 |-6.586712e-02 | 247.69%
      1 |     0 |   462 |     - |  26M|-2.220280e-01 |-6.586712e-02 | 237.08%
      1 |     0 |   485 |     - |  27M|-2.167218e-01 |-6.586712e-02 | 229.03%
      1 |     0 |   506 |     - |  27M|-2.124489e-01 |-6.586712e-02 | 222.54%
      1 |     0 |   526 |     - |  27M|-2.097634e-01 |-6.586712e-02 | 218.46%
      1 |     0 |   536 |     - |  27M|-2.087957e-01 |-6.586712e-02 | 217.00%
      1 |     0 |   561 |     - |  27M|-2.051406e-01 |-6.586712e-02 | 211.45%
      1 |     0 |   582 |     - |  27M|-2.021812e-01 |-6.586712e-02 | 206.95%
      1 |     0 |   591 |     - |  27M|-2.004057e-01 |-6.586712e-02 | 204.26%
      1 |     0 |   606 |     - |  27M|-2.002015e-01 |-6.586712e-02 | 203.95%
      1 |     0 |   624 |     - |  27M|-1.991747e-01 |-6.586712e-02 | 202.39%
      1 |     0 |   654 |     - |  27M|-1.971254e-01 |-6.586712e-02 | 199.28%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |   681 |     - |  28M|-1.944526e-01 |-6.586712e-02 | 195.22%
      1 |     0 |   702 |     - |  29M|-1.927459e-01 |-6.586712e-02 | 192.63%
      1 |     0 |   724 |     - |  29M|-1.910761e-01 |-6.586712e-02 | 190.09%
      1 |     0 |   750 |     - |  29M|-1.880990e-01 |-6.586712e-02 | 185.57%
      1 |     0 |   775 |     - |  29M|-1.859520e-01 |-6.586712e-02 | 182.31%
      1 |     0 |   803 |     - |  29M|-1.832322e-01 |-6.586712e-02 | 178.18%
