presolving:
(round 1, fast)       33 del vars, 93 del conss, 0 add conss, 214 chg bounds, 0 chg sides, 0 chg coeffs, 1 upgd conss, 0 impls, 0 clqs
(round 2, fast)       33 del vars, 93 del conss, 0 add conss, 244 chg bounds, 0 chg sides, 0 chg coeffs, 2 upgd conss, 0 impls, 0 clqs
(round 3, fast)       33 del vars, 93 del conss, 0 add conss, 278 chg bounds, 0 chg sides, 0 chg coeffs, 2 upgd conss, 0 impls, 0 clqs
(round 4, fast)       33 del vars, 93 del conss, 0 add conss, 297 chg bounds, 0 chg sides, 23 chg coeffs, 2 upgd conss, 0 impls, 0 clqs
(round 5, exhaustive) 33 del vars, 93 del conss, 0 add conss, 297 chg bounds, 0 chg sides, 23 chg coeffs, 32 upgd conss, 0 impls, 0 clqs
(round 6, exhaustive) 33 del vars, 93 del conss, 0 add conss, 297 chg bounds, 0 chg sides, 23 chg coeffs, 33 upgd conss, 30 impls, 0 clqs
   (0.0s) probing cycle finished: starting next cycle
presolving (7 rounds: 7 fast, 3 medium, 3 exhaustive):
 33 deleted vars, 93 deleted constraints, 0 added constraints, 297 tightened bounds, 0 added holes, 0 changed sides, 23 changed coefficients
 30 implications, 0 cliques
presolved problem has 90 variables (30 bin, 0 int, 0 impl, 60 cont) and 63 constraints
     30 constraints of type <varbound>
      1 constraints of type <knapsack>
     31 constraints of type <linear>
      1 constraints of type <quadratic>
Presolving Time: 0.00

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************


  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |   103 |     - |1913k|-1.266403e-01 |      --      |    Inf 
F     1 |     0 |   168 |     - |1925k|-1.266403e-01 |-7.279967e-02 |  73.96%
      1 |     0 |   177 |     - |1939k|-1.155854e-01 |-7.279967e-02 |  58.77%
      1 |     0 |   187 |     - |2005k|-1.084730e-01 |-7.279967e-02 |  49.00%
      1 |     0 |   197 |     - |2298k|-1.062382e-01 |-7.279967e-02 |  45.93%
      1 |     0 |   209 |     - |2305k|-1.027389e-01 |-7.279967e-02 |  41.13%
      1 |     0 |   223 |     - |2305k|-9.570651e-02 |-7.279967e-02 |  31.47%
      1 |     0 |   228 |     - |2305k|-9.353760e-02 |-7.279967e-02 |  28.49%
      1 |     0 |   229 |     - |2305k|-9.311639e-02 |-7.279967e-02 |  27.91%
      1 |     0 |   231 |     - |2313k|-9.235044e-02 |-7.279967e-02 |  26.86%
      1 |     0 |   234 |     - |2321k|-9.117883e-02 |-7.279967e-02 |  25.25%
      1 |     0 |   238 |     - |2321k|-9.092891e-02 |-7.279967e-02 |  24.90%
      1 |     0 |   245 |     - |2321k|-8.950136e-02 |-7.279967e-02 |  22.94%
      1 |     0 |   254 |     - |2321k|-8.913856e-02 |-7.279967e-02 |  22.44%
      1 |     0 |   258 |     - |2444k|-8.889895e-02 |-7.279967e-02 |  22.11%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |   267 |     - |2444k|-8.839821e-02 |-7.279967e-02 |  21.43%
      1 |     0 |   269 |     - |2877k|-8.838927e-02 |-7.279967e-02 |  21.41%
      1 |     0 |   277 |     - |2877k|-8.794346e-02 |-7.279967e-02 |  20.80%
      1 |     0 |   279 |     - |2877k|-8.761604e-02 |-7.279967e-02 |  20.35%
      1 |     0 |   286 |     - |2904k|-8.624017e-02 |-7.279967e-02 |  18.46%
      1 |     0 |   289 |     - |2904k|-8.588846e-02 |-7.279967e-02 |  17.98%
      1 |     0 |   290 |     - |2904k|-8.586805e-02 |-7.279967e-02 |  17.95%
      1 |     0 |   293 |     - |2904k|-8.563066e-02 |-7.279967e-02 |  17.63%
      1 |     0 |   297 |     - |2904k|-8.545743e-02 |-7.279967e-02 |  17.39%
      1 |     0 |   300 |     - |2904k|-8.530481e-02 |-7.279967e-02 |  17.18%
      1 |     0 |   306 |     - |2904k|-8.449320e-02 |-7.279967e-02 |  16.06%
      1 |     0 |   314 |     - |2904k|-8.404253e-02 |-7.279967e-02 |  15.44%
      1 |     0 |   326 |     - |2904k|-8.374009e-02 |-7.279967e-02 |  15.03%
      1 |     0 |   332 |     - |2904k|-8.369196e-02 |-7.279967e-02 |  14.96%
      1 |     0 |   342 |     - |2904k|-8.349975e-02 |-7.279967e-02 |  14.70%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |   347 |     - |2904k|-8.338593e-02 |-7.279967e-02 |  14.54%
      1 |     0 |   351 |     - |2904k|-8.309360e-02 |-7.279967e-02 |  14.14%
      1 |     0 |   359 |     - |2904k|-8.273245e-02 |-7.279967e-02 |  13.64%
      1 |     0 |   367 |     - |2904k|-8.266704e-02 |-7.279967e-02 |  13.55%
      1 |     0 |   377 |     - |2904k|-8.239948e-02 |-7.279967e-02 |  13.19%
      1 |     0 |   380 |     - |2904k|-8.236339e-02 |-7.279967e-02 |  13.14%
      1 |     0 |   390 |     - |2904k|-8.232120e-02 |-7.279967e-02 |  13.08%
      1 |     0 |   397 |     - |2904k|-8.220559e-02 |-7.279967e-02 |  12.92%
      1 |     0 |   408 |     - |2904k|-8.202765e-02 |-7.279967e-02 |  12.68%
      1 |     0 |   418 |     - |2904k|-8.193959e-02 |-7.279967e-02 |  12.55%
      1 |     0 |   423 |     - |2904k|-8.186125e-02 |-7.279967e-02 |  12.45%
      1 |     0 |   440 |     - |2904k|-8.164511e-02 |-7.279967e-02 |  12.15%
      1 |     0 |   448 |     - |2904k|-8.143031e-02 |-7.279967e-02 |  11.86%
      1 |     0 |   461 |     - |2904k|-8.126585e-02 |-7.279967e-02 |  11.63%
      1 |     0 |   467 |     - |2936k|-8.116495e-02 |-7.279967e-02 |  11.49%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |   471 |     - |2936k|-8.111215e-02 |-7.279967e-02 |  11.42%
      1 |     0 |   474 |     - |2936k|-8.108754e-02 |-7.279967e-02 |  11.38%
      1 |     0 |   480 |     - |2936k|-8.097292e-02 |-7.279967e-02 |  11.23%
      1 |     0 |   483 |     - |2936k|-8.093415e-02 |-7.279967e-02 |  11.17%
      1 |     0 |   491 |     - |2936k|-8.077741e-02 |-7.279967e-02 |  10.96%
      1 |     0 |   497 |     - |2936k|-8.064100e-02 |-7.279967e-02 |  10.77%
      1 |     0 |   499 |     - |2936k|-8.064051e-02 |-7.279967e-02 |  10.77%
      1 |     0 |   502 |     - |2936k|-8.061159e-02 |-7.279967e-02 |  10.73%
      1 |     0 |   508 |     - |2936k|-8.059867e-02 |-7.279967e-02 |  10.71%
      1 |     0 |   515 |     - |2936k|-8.059185e-02 |-7.279967e-02 |  10.70%
      1 |     0 |   525 |     - |2936k|-8.057221e-02 |-7.279967e-02 |  10.68%
      1 |     0 |  1198 |     - |2959k|-8.057221e-02 |-7.279967e-02 |  10.68%
      1 |     0 |  1203 |     - |2963k|-8.057050e-02 |-7.279967e-02 |  10.67%
      1 |     0 |  1210 |     - |2963k|-8.054770e-02 |-7.279967e-02 |  10.64%
      1 |     0 |  1214 |     - |2963k|-8.053840e-02 |-7.279967e-02 |  10.63%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |  1223 |     - |2963k|-8.047078e-02 |-7.279967e-02 |  10.54%
      1 |     0 |  1224 |     - |2963k|-8.046731e-02 |-7.279967e-02 |  10.53%
      1 |     0 |  1233 |     - |2963k|-8.044042e-02 |-7.279967e-02 |  10.50%
      1 |     0 |  1240 |     - |2963k|-8.043294e-02 |-7.279967e-02 |  10.49%
E     1 |     0 |  1269 |     - |2978k|-8.043294e-02 |-7.981500e-02 |   0.77%
      1 |     0 |  1269 |     - |2978k|-8.043294e-02 |-7.981500e-02 |   0.77%
      1 |     0 |  1288 |     - |2978k|-8.042489e-02 |-7.981500e-02 |   0.76%
      1 |     2 |  1288 |     - |2979k|-8.042489e-02 |-7.981500e-02 |   0.76%

SCIP Status        : problem is solved [optimal solution found]
Solving Time (sec) : 1.53
Solving Nodes      : 75
Primal Bound       : -7.98150007453450e-02 (3 solutions)
Dual Bound         : -7.98150007453450e-02
Gap                : 0.00 %
#SOLVERNAME# SCIP_MISOCP
#SOLVER# SCIP.SCIPSolver(("limits/gap",1.0e-5,"limits/time",3600.0))
#INSTANCE# classical_30_0.cbf.gz
#TIMELIMIT# 3600.0
#STATUS# Optimal
#OBJVAL# -0.07981500074534503
#OBJBOUND# -0.07981500074534503
#TIMESOLVER# 1.53
#TIMEALL# 2.966020107269287
#SOLUTION# [0.0,0.2754184199267761,0.0,0.0,0.06596705845254067,0.0,0.0,0.18328212163975627,0.0,0.019493097890485433,0.08666139168785761,0.0,0.0,0.0,0.07026685433564102,0.0,0.0,0.0,0.0,0.0,0.0,0.08389795412147957,0.04427145162314749,0.0,0.07948381204224132,0.09125783828007426,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02232994694376675,0.03814499835495513,0.022898887803391478,0.01115320818058515,0.047844383860505574,0.021607721127569816,0.028657022984659445,0.0970371592937181,0.021106236850223815,0.03241125323876959,0.0973648195018073,0.011851508224152,0.009716309698563488,0.014796080470451129,0.05690981017634627,0.022169393762022756,0.008606246428941311,0.008992323280051865,0.01640549321591976,0.03112243774014059,0.01573176067775298,0.04637487231762373,0.03250143297522078,0.017593064478282974,0.03723915376461565,0.03640391578809367,0.018166777503286876,0.023052585597119448,0.020514479331398522,0.00971194511197065,0.2]
