presolving:
(round 1, fast)       594 del vars, 792 del conss, 0 add conss, 594 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
   (0.1s) probing cycle finished: starting next cycle
presolving (2 rounds: 2 fast, 1 medium, 1 exhaustive):
 594 deleted vars, 792 deleted constraints, 0 added constraints, 594 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 396 implications, 0 cliques
presolved problem has 595 variables (198 bin, 0 int, 0 impl, 397 cont) and 244 constraints
     46 constraints of type <linear>
    198 constraints of type <quadratic>
Presolving Time: 0.05

  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |   184 |     - |6822k| 0.000000e+00 |      --      |    Inf 

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

      1 |     0 |   227 |     - |7153k| 0.000000e+00 |      --      |    Inf 
      1 |     0 |   253 |     - |7182k| 0.000000e+00 |      --      |    Inf 
      1 |     0 |   323 |     - |7182k| 0.000000e+00 |      --      |    Inf 
      1 |     0 |   424 |     - |7241k| 0.000000e+00 |      --      |    Inf 
      1 |     0 |   583 |     - |7241k| 0.000000e+00 |      --      |    Inf 
      1 |     0 |   736 |     - |7357k| 0.000000e+00 |      --      |    Inf 
      1 |     0 |  1909 |     - |7658k| 0.000000e+00 |      --      |    Inf 
      1 |     0 |  2229 |     - |7794k| 1.078993e-01 |      --      |    Inf 
      1 |     0 |  2229 |     - |7821k| 1.078993e-01 |      --      |    Inf 
      1 |     2 |  2229 |     - |7832k| 1.078993e-01 |      --      |    Inf 
    100 |   101 |188725 |1895.6 |  18M| 1.243767e+01 |      --      |    Inf 
    200 |   199 |346997 |1738.4 |  27M| 1.243891e+01 |      --      |    Inf 
    300 |   299 |514650 |1717.7 |  32M| 1.243891e+01 |      --      |    Inf 
    400 |   397 |711195 |1779.8 |  37M| 1.243900e+01 |      --      |    Inf 
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
    500 |   495 |892941 |1787.3 |  43M| 1.243900e+01 |      --      |    Inf 
    600 |   595 |  1061k|1770.4 |  48M| 1.243900e+01 |      --      |    Inf 
    700 |   695 |  1251k|1788.8 |  54M| 1.243900e+01 |      --      |    Inf 
    800 |   795 |  1428k|1786.8 |  59M| 1.243900e+01 |      --      |    Inf 
    900 |   895 |  1617k|1798.2 |  65M| 1.243900e+01 |      --      |    Inf 
   1000 |   995 |  1798k|1798.9 |  70M| 1.243900e+01 |      --      |    Inf 
   1100 |  1093 |  1997k|1816.3 |  76M| 1.243900e+01 |      --      |    Inf 
