presolving:
(round 1, fast)       75 del vars, 422 del conss, 0 add conss, 377 chg bounds, 0 chg sides, 0 chg coeffs, 25 upgd conss, 0 impls, 0 clqs
(round 2, fast)       76 del vars, 423 del conss, 29 add conss, 406 chg bounds, 0 chg sides, 27 chg coeffs, 25 upgd conss, 0 impls, 144 clqs
(round 3, fast)       76 del vars, 424 del conss, 54 add conss, 406 chg bounds, 5 chg sides, 32 chg coeffs, 25 upgd conss, 0 impls, 144 clqs
(round 4, fast)       76 del vars, 424 del conss, 54 add conss, 406 chg bounds, 40 chg sides, 67 chg coeffs, 25 upgd conss, 0 impls, 144 clqs
(round 5, exhaustive) 76 del vars, 425 del conss, 54 add conss, 406 chg bounds, 91 chg sides, 67 chg coeffs, 25 upgd conss, 0 impls, 144 clqs
(round 6, exhaustive) 76 del vars, 425 del conss, 54 add conss, 406 chg bounds, 91 chg sides, 67 chg coeffs, 106 upgd conss, 0 impls, 144 clqs
(round 7, fast)       76 del vars, 425 del conss, 54 add conss, 406 chg bounds, 96 chg sides, 102 chg coeffs, 106 upgd conss, 16 impls, 144 clqs
(round 8, medium)     77 del vars, 440 del conss, 54 add conss, 406 chg bounds, 103 chg sides, 109 chg coeffs, 106 upgd conss, 16 impls, 143 clqs
(round 9, fast)       77 del vars, 441 del conss, 54 add conss, 406 chg bounds, 103 chg sides, 109 chg coeffs, 106 upgd conss, 16 impls, 143 clqs
(round 10, exhaustive) 77 del vars, 441 del conss, 54 add conss, 406 chg bounds, 103 chg sides, 109 chg coeffs, 110 upgd conss, 16 impls, 143 clqs
(round 11, fast)       77 del vars, 441 del conss, 54 add conss, 406 chg bounds, 103 chg sides, 112 chg coeffs, 110 upgd conss, 16 impls, 143 clqs
(round 12, medium)     77 del vars, 445 del conss, 58 add conss, 406 chg bounds, 106 chg sides, 136 chg coeffs, 110 upgd conss, 16 impls, 159 clqs
(round 13, exhaustive) 77 del vars, 453 del conss, 62 add conss, 406 chg bounds, 106 chg sides, 136 chg coeffs, 110 upgd conss, 16 impls, 159 clqs
(round 14, medium)     81 del vars, 453 del conss, 62 add conss, 406 chg bounds, 110 chg sides, 140 chg coeffs, 110 upgd conss, 16 impls, 143 clqs
(round 15, fast)       81 del vars, 457 del conss, 62 add conss, 406 chg bounds, 110 chg sides, 140 chg coeffs, 110 upgd conss, 16 impls, 143 clqs
   (0.0s) probing cycle finished: starting next cycle
(round 16, exhaustive) 81 del vars, 457 del conss, 62 add conss, 457 chg bounds, 110 chg sides, 140 chg coeffs, 110 upgd conss, 542 impls, 735 clqs
(round 17, fast)       81 del vars, 483 del conss, 90 add conss, 457 chg bounds, 126 chg sides, 150 chg coeffs, 110 upgd conss, 542 impls, 735 clqs
(round 18, fast)       81 del vars, 483 del conss, 90 add conss, 457 chg bounds, 166 chg sides, 190 chg coeffs, 110 upgd conss, 542 impls, 735 clqs
(round 19, exhaustive) 81 del vars, 486 del conss, 90 add conss, 457 chg bounds, 184 chg sides, 190 chg coeffs, 110 upgd conss, 542 impls, 735 clqs
(round 20, exhaustive) 81 del vars, 486 del conss, 90 add conss, 457 chg bounds, 184 chg sides, 190 chg coeffs, 123 upgd conss, 542 impls, 735 clqs
   (0.0s) probing cycle finished: starting next cycle
(round 21, exhaustive) 81 del vars, 486 del conss, 90 add conss, 462 chg bounds, 184 chg sides, 190 chg coeffs, 123 upgd conss, 559 impls, 735 clqs
(round 22, fast)       81 del vars, 491 del conss, 118 add conss, 462 chg bounds, 189 chg sides, 190 chg coeffs, 123 upgd conss, 559 impls, 735 clqs
(round 23, fast)       81 del vars, 491 del conss, 118 add conss, 462 chg bounds, 229 chg sides, 230 chg coeffs, 123 upgd conss, 559 impls, 735 clqs
(round 24, exhaustive) 81 del vars, 519 del conss, 118 add conss, 462 chg bounds, 247 chg sides, 230 chg coeffs, 123 upgd conss, 559 impls, 735 clqs
   (0.0s) probing: 40/126 (31.7%) - 0 fixings, 0 aggregations, 543 implications, 56 bound changes
   (0.0s) probing aborted: 50/50 successive totally useless probings
presolving (25 rounds: 25 fast, 13 medium, 10 exhaustive):
 81 deleted vars, 519 deleted constraints, 118 added constraints, 462 tightened bounds, 0 added holes, 247 changed sides, 230 changed coefficients
 559 implications, 735 cliques
presolved problem has 181 variables (126 bin, 0 int, 30 impl, 25 cont) and 137 constraints
     25 constraints of type <soc>
      8 constraints of type <varbound>
     15 constraints of type <knapsack>
     30 constraints of type <setppc>
     59 constraints of type <linear>
transformed objective value is always integral (scale: 0.1)
Presolving Time: 0.03

  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |    63 |     - |3368k| 0.000000e+00 |      --      |    Inf 
      1 |     0 |   215 |     - |3482k| 0.000000e+00 |      --      |    Inf 
      1 |     0 |   237 |     - |3538k| 0.000000e+00 |      --      |    Inf 
      1 |     0 |   263 |     - |3693k| 0.000000e+00 |      --      |    Inf 
      1 |     0 |   290 |     - |3904k| 0.000000e+00 |      --      |    Inf 
      1 |     0 |   500 |     - |3963k| 2.567297e-01 |      --      |    Inf 
      1 |     0 |   619 |     - |4056k| 5.808917e-01 |      --      |    Inf 
      1 |     0 |   793 |     - |4554k| 8.429603e-01 |      --      |    Inf 
      1 |     0 |   950 |     - |5109k| 9.901972e-01 |      --      |    Inf 
      1 |     0 |  1059 |     - |5190k| 1.246996e+00 |      --      |    Inf 
      1 |     0 |  1106 |     - |5215k| 1.263176e+00 |      --      |    Inf 
      1 |     0 |  1155 |     - |5216k| 1.275403e+00 |      --      |    Inf 
      1 |     0 |  1188 |     - |5217k| 1.277800e+00 |      --      |    Inf 
      1 |     0 |  1204 |     - |5217k| 1.281437e+00 |      --      |    Inf 
      1 |     0 |  1227 |     - |5217k| 1.282010e+00 |      --      |    Inf 
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |  1250 |     - |5217k| 1.284108e+00 |      --      |    Inf 
      1 |     0 |  1261 |     - |5217k| 1.284397e+00 |      --      |    Inf 
      1 |     0 |  1276 |     - |5217k| 1.284468e+00 |      --      |    Inf 
      1 |     0 |  1294 |     - |5217k| 1.284567e+00 |      --      |    Inf 
      1 |     0 |  1307 |     - |5217k| 1.284685e+00 |      --      |    Inf 
      1 |     0 |  1317 |     - |5217k| 1.284789e+00 |      --      |    Inf 
      1 |     0 |  1349 |     - |5217k| 1.286429e+00 |      --      |    Inf 
      1 |     0 |  1378 |     - |5217k| 1.286508e+00 |      --      |    Inf 
      1 |     0 |  1393 |     - |5217k| 1.286566e+00 |      --      |    Inf 
      1 |     0 |  1409 |     - |5217k| 1.286612e+00 |      --      |    Inf 
      1 |     0 |  1417 |     - |5217k| 1.286655e+00 |      --      |    Inf 
      1 |     0 |  1420 |     - |5217k| 1.286659e+00 |      --      |    Inf 
      1 |     0 |  4082 |     - |5268k| 1.286659e+00 |      --      |    Inf 
      1 |     0 |  4088 |     - |5268k| 1.286678e+00 |      --      |    Inf 
      1 |     0 |  4095 |     - |5268k| 1.286683e+00 |      --      |    Inf 
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |  4100 |     - |5268k| 1.286687e+00 |      --      |    Inf 
      1 |     0 |  4102 |     - |5268k| 1.286701e+00 |      --      |    Inf 
      1 |     0 |  4105 |     - |5268k| 1.286712e+00 |      --      |    Inf 
      1 |     0 |  4108 |     - |5268k| 1.286731e+00 |      --      |    Inf 

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

      1 |     2 |  4145 |     - |5283k| 1.293853e+00 |      --      |    Inf 
q    12 |     5 |  5733 | 390.2 |5362k| 1.293853e+00 | 2.160000e+01 |1569.43%
s    22 |    12 |  7019 | 265.6 |5452k| 1.420530e+00 | 2.060000e+01 |1350.16%
s    31 |    18 |  8304 | 228.8 |5599k| 1.498006e+00 | 1.660000e+01 |1008.14%
*    53 |    24 | 10524 | 174.7 |6185k| 1.576803e+00 | 1.580000e+01 | 902.03%
    100 |    71 | 22359 | 211.3 |7152k| 2.354959e+00 | 1.580000e+01 | 570.92%
    200 |   163 | 47696 | 232.4 |9855k| 3.666027e+00 | 1.580000e+01 | 330.98%
C   253 |   196 | 58885 | 228.0 |  10M| 4.092683e+00 | 1.380000e+01 | 237.19%
    300 |   233 | 70505 | 231.0 |  13M| 4.617359e+00 | 1.380000e+01 | 198.87%
    400 |   301 | 86045 | 212.0 |  14M| 4.699252e+00 | 1.380000e+01 | 193.66%
    500 |   375 |104537 | 206.6 |  17M| 4.800000e+00 | 1.380000e+01 | 187.50%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
    600 |   459 |122445 | 202.0 |  19M| 4.989352e+00 | 1.380000e+01 | 176.59%
    700 |   527 |138462 | 196.0 |  21M| 5.010737e+00 | 1.380000e+01 | 175.41%
    800 |   615 |158319 | 196.3 |  23M| 5.010737e+00 | 1.380000e+01 | 175.41%
    900 |   701 |177507 | 195.8 |  27M| 5.042481e+00 | 1.380000e+01 | 173.67%
