numerics/lpfeastol = 1e-07
presolving:
(round 1, fast)       403 del vars, 806 del conss, 0 add conss, 2207 chg bounds, 0 chg sides, 0 chg coeffs, 2 upgd conss, 0 impls, 0 clqs
(round 2, exhaustive) 403 del vars, 808 del conss, 402 add conss, 2207 chg bounds, 0 chg sides, 0 chg coeffs, 2 upgd conss, 0 impls, 0 clqs
(round 3, fast)       403 del vars, 808 del conss, 402 add conss, 2607 chg bounds, 0 chg sides, 0 chg coeffs, 2 upgd conss, 0 impls, 0 clqs
(round 4, exhaustive) 403 del vars, 808 del conss, 402 add conss, 2607 chg bounds, 0 chg sides, 0 chg coeffs, 203 upgd conss, 0 impls, 0 clqs
(round 5, exhaustive) 403 del vars, 808 del conss, 402 add conss, 2607 chg bounds, 0 chg sides, 0 chg coeffs, 204 upgd conss, 201 impls, 0 clqs
   (0.4s) probing cycle finished: starting next cycle
presolving (6 rounds: 6 fast, 4 medium, 4 exhaustive):
 403 deleted vars, 808 deleted constraints, 402 added constraints, 2607 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 331 implications, 0 cliques
presolved problem has 1204 variables (201 bin, 0 int, 0 impl, 1003 cont) and 1007 constraints
    400 constraints of type <soc>
    201 constraints of type <varbound>
      1 constraints of type <knapsack>
    405 constraints of type <linear>
Presolving Time: 0.37
numerics/lpfeastol = 1e-07

  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
T     1 |     0 |   399 |     - |  61M|-2.148990e+02 |-1.000000e+00 |  Large 
      1 |     0 |   803 |     - |  61M|-1.478953e+00 |-1.000000e+00 |  47.90%
      1 |     0 |   947 |     - |  61M|-1.298655e+00 |-1.000000e+00 |  29.87%
      1 |     0 |   947 |     - |  61M|-1.298655e+00 |-1.000000e+00 |  29.87%
      1 |     0 |  1322 |     - |  61M|-1.244759e+00 |-1.000000e+00 |  24.48%
      1 |     0 |  1322 |     - |  61M|-1.244759e+00 |-1.000000e+00 |  24.48%
      1 |     0 |  1667 |     - |  62M|-1.216555e+00 |-1.000000e+00 |  21.66%
      1 |     0 |  1667 |     - |  62M|-1.216555e+00 |-1.000000e+00 |  21.66%
      1 |     0 |  2136 |     - |  63M|-1.196502e+00 |-1.000000e+00 |  19.65%
      1 |     0 |  2136 |     - |  63M|-1.196502e+00 |-1.000000e+00 |  19.65%
      1 |     0 |  2553 |     - |  64M|-1.175260e+00 |-1.000000e+00 |  17.53%
      1 |     0 |  2553 |     - |  64M|-1.175260e+00 |-1.000000e+00 |  17.53%
      1 |     0 |  3147 |     - |  65M|-1.160912e+00 |-1.000000e+00 |  16.09%
      1 |     0 |  3147 |     - |  65M|-1.160912e+00 |-1.000000e+00 |  16.09%
      1 |     0 |  3641 |     - |  69M|-1.153612e+00 |-1.000000e+00 |  15.36%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |  3641 |     - |  69M|-1.153612e+00 |-1.000000e+00 |  15.36%
      1 |     0 |  4007 |     - |  71M|-1.150427e+00 |-1.000000e+00 |  15.04%
      1 |     0 |  4339 |     - |  71M|-1.149254e+00 |-1.000000e+00 |  14.93%
      1 |     0 |  4692 |     - |  71M|-1.148751e+00 |-1.000000e+00 |  14.88%
      1 |     0 |  4936 |     - |  71M|-1.148544e+00 |-1.000000e+00 |  14.85%
      1 |     0 |  5070 |     - |  71M|-1.148482e+00 |-1.000000e+00 |  14.85%
      1 |     0 |  5142 |     - |  71M|-1.148470e+00 |-1.000000e+00 |  14.85%
      1 |     0 |  5178 |     - |  71M|-1.148468e+00 |-1.000000e+00 |  14.85%
      1 |     0 |  5194 |     - |  71M|-1.148467e+00 |-1.000000e+00 |  14.85%
      1 |     0 |  5200 |     - |  71M|-1.148467e+00 |-1.000000e+00 |  14.85%
      1 |     0 | 53210 |     - |  71M|-1.148467e+00 |-1.000000e+00 |  14.85%
      1 |     0 | 53222 |     - |  71M|-1.148467e+00 |-1.000000e+00 |  14.85%
      1 |     0 |101352 |     - |  72M|-1.148467e+00 |-1.000000e+00 |  14.85%

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

      1 |     2 |107962 |     - |  72M|-1.148467e+00 |-1.000000e+00 |  14.85%
*    68 |    49 |204151 |2975.2 |  76M|-1.148467e+00 |-1.106645e+00 |   3.78%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
    100 |    67 |241642 |2392.2 |  82M|-1.148467e+00 |-1.106645e+00 |   3.78%
*   107 |    70 |250489 |2317.7 |  82M|-1.148467e+00 |-1.107429e+00 |   3.71%
    200 |   131 |369803 |1834.1 |  87M|-1.148467e+00 |-1.107429e+00 |   3.71%
*   283 |   170 |482208 |1692.9 |  94M|-1.148270e+00 |-1.107574e+00 |   3.67%
*   290 |   171 |493131 |1689.7 |  94M|-1.148270e+00 |-1.107911e+00 |   3.64%
    300 |   175 |503351 |1667.4 |  94M|-1.148270e+00 |-1.107911e+00 |   3.64%
    400 |   213 |634799 |1578.9 |  97M|-1.148108e+00 |-1.107911e+00 |   3.63%
C   490 |   239 |731554 |1486.2 | 101M|-1.148108e+00 |-1.109149e+00 |   3.51%
    500 |   241 |751466 |1496.3 | 101M|-1.148108e+00 |-1.109149e+00 |   3.51%
*   504 |   241 |758199 |1497.8 | 103M|-1.148108e+00 |-1.111769e+00 |   3.27%
*   571 |   256 |825449 |1439.7 | 106M|-1.148108e+00 |-1.113191e+00 |   3.14%
    600 |   257 |874580 |1452.0 | 106M|-1.148108e+00 |-1.113191e+00 |   3.14%
    700 |   273 |983362 |1399.9 | 111M|-1.147973e+00 |-1.113191e+00 |   3.12%
C   771 |   282 |  1055k|1364.0 | 113M|-1.147973e+00 |-1.118911e+00 |   2.60%
    800 |   285 |  1086k|1353.6 | 114M|-1.147973e+00 |-1.118911e+00 |   2.60%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
    900 |   293 |  1179k|1306.6 | 119M|-1.147973e+00 |-1.118911e+00 |   2.60%
   1000 |   301 |  1282k|1278.8 | 122M|-1.147973e+00 |-1.118911e+00 |   2.60%
   1100 |   333 |  1371k|1243.3 | 127M|-1.147947e+00 |-1.118911e+00 |   2.60%
C  1155 |   334 |  1418k|1224.6 | 128M|-1.147947e+00 |-1.119413e+00 |   2.55%
   1200 |   335 |  1452k|1207.2 | 129M|-1.147947e+00 |-1.119413e+00 |   2.55%
   1300 |   341 |  1536k|1179.4 | 129M|-1.147924e+00 |-1.119413e+00 |   2.55%
   1400 |   341 |  1622k|1156.6 | 130M|-1.147924e+00 |-1.119413e+00 |   2.55%
   1500 |   347 |  1703k|1133.4 | 132M|-1.147917e+00 |-1.119413e+00 |   2.55%
   1600 |   349 |  1787k|1115.0 | 132M|-1.147917e+00 |-1.119413e+00 |   2.55%
   1700 |   353 |  1878k|1102.7 | 132M|-1.147917e+00 |-1.119413e+00 |   2.55%
   1800 |   357 |  1964k|1089.6 | 133M|-1.147917e+00 |-1.119413e+00 |   2.55%
   1900 |   367 |  2049k|1076.7 | 134M|-1.147917e+00 |-1.119413e+00 |   2.55%
   2000 |   375 |  2134k|1065.6 | 134M|-1.147766e+00 |-1.119413e+00 |   2.53%
   2100 |   375 |  2211k|1051.5 | 135M|-1.147766e+00 |-1.119413e+00 |   2.53%
   2200 |   377 |  2291k|1040.1 | 135M|-1.147766e+00 |-1.119413e+00 |   2.53%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   2300 |   377 |  2371k|1029.5 | 136M|-1.147766e+00 |-1.119413e+00 |   2.53%
   2400 |   385 |  2434k|1012.7 | 137M|-1.147766e+00 |-1.119413e+00 |   2.53%
   2500 |   385 |  2512k|1003.4 | 137M|-1.147766e+00 |-1.119413e+00 |   2.53%
   2600 |   383 |  2598k| 997.9 | 138M|-1.147766e+00 |-1.119413e+00 |   2.53%
   2700 |   383 |  2674k| 989.2 | 138M|-1.147766e+00 |-1.119413e+00 |   2.53%
   2800 |   383 |  2742k| 978.0 | 138M|-1.147766e+00 |-1.119413e+00 |   2.53%
   2900 |   393 |  2843k| 979.2 | 142M|-1.147765e+00 |-1.119413e+00 |   2.53%
*  2996 |   395 |  2939k| 979.7 | 145M|-1.147765e+00 |-1.119422e+00 |   2.53%
   3000 |   395 |  2943k| 980.0 | 146M|-1.147765e+00 |-1.119422e+00 |   2.53%
   3100 |   399 |  3045k| 981.2 | 146M|-1.147765e+00 |-1.119422e+00 |   2.53%
   3200 |   405 |  3134k| 978.4 | 147M|-1.147765e+00 |-1.119422e+00 |   2.53%
   3300 |   405 |  3228k| 977.1 | 149M|-1.147765e+00 |-1.119422e+00 |   2.53%
   3400 |   415 |  3311k| 972.9 | 152M|-1.147611e+00 |-1.119422e+00 |   2.52%
   3500 |   415 |  3386k| 966.4 | 155M|-1.147611e+00 |-1.119422e+00 |   2.52%
   3600 |   415 |  3448k| 956.8 | 157M|-1.147611e+00 |-1.119422e+00 |   2.52%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   3700 |   421 |  3546k| 957.5 | 159M|-1.147611e+00 |-1.119422e+00 |   2.52%
*  3708 |   421 |  3558k| 958.6 | 161M|-1.147611e+00 |-1.122500e+00 |   2.24%
   3800 |   427 |  3615k| 950.3 | 161M|-1.147611e+00 |-1.122500e+00 |   2.24%
   3900 |   429 |  3680k| 942.8 | 162M|-1.147611e+00 |-1.122500e+00 |   2.24%
   4000 |   431 |  3739k| 934.0 | 165M|-1.147611e+00 |-1.122500e+00 |   2.24%
   4100 |   441 |  3790k| 923.5 | 168M|-1.147611e+00 |-1.122500e+00 |   2.24%
   4200 |   449 |  3845k| 914.6 | 169M|-1.147611e+00 |-1.122500e+00 |   2.24%
   4300 |   453 |  3905k| 907.5 | 171M|-1.147611e+00 |-1.122500e+00 |   2.24%
   4400 |   459 |  3972k| 902.0 | 173M|-1.147611e+00 |-1.122500e+00 |   2.24%
   4500 |   459 |  4039k| 896.7 | 174M|-1.147611e+00 |-1.122500e+00 |   2.24%
   4600 |   459 |  4098k| 890.0 | 176M|-1.147611e+00 |-1.122500e+00 |   2.24%
   4700 |   459 |  4152k| 882.8 | 177M|-1.147611e+00 |-1.122500e+00 |   2.24%
   4800 |   455 |  4208k| 875.9 | 179M|-1.147611e+00 |-1.122500e+00 |   2.24%
   4900 |   455 |  4270k| 870.8 | 181M|-1.147611e+00 |-1.122500e+00 |   2.24%
   5000 |   453 |  4328k| 864.9 | 181M|-1.147594e+00 |-1.122500e+00 |   2.24%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   5100 |   457 |  4377k| 857.5 | 182M|-1.147594e+00 |-1.122500e+00 |   2.24%
   5200 |   463 |  4431k| 851.5 | 183M|-1.147594e+00 |-1.122500e+00 |   2.24%
   5300 |   469 |  4477k| 844.1 | 185M|-1.147594e+00 |-1.122500e+00 |   2.24%
   5400 |   471 |  4539k| 840.0 | 189M|-1.147558e+00 |-1.122500e+00 |   2.23%
   5500 |   471 |  4583k| 832.6 | 189M|-1.147558e+00 |-1.122500e+00 |   2.23%
   5600 |   475 |  4623k| 825.0 | 190M|-1.147555e+00 |-1.122500e+00 |   2.23%
   5700 |   477 |  4673k| 819.1 | 190M|-1.147555e+00 |-1.122500e+00 |   2.23%
   5800 |   479 |  4718k| 812.8 | 192M|-1.147555e+00 |-1.122500e+00 |   2.23%
   5900 |   485 |  4780k| 809.6 | 194M|-1.147528e+00 |-1.122500e+00 |   2.23%
   6000 |   483 |  4831k| 804.6 | 194M|-1.147528e+00 |-1.122500e+00 |   2.23%
   6100 |   477 |  4882k| 799.7 | 195M|-1.147528e+00 |-1.122500e+00 |   2.23%
   6200 |   481 |  4924k| 793.6 | 195M|-1.147528e+00 |-1.122500e+00 |   2.23%
   6300 |   485 |  4973k| 788.8 | 196M|-1.147528e+00 |-1.122500e+00 |   2.23%
   6400 |   489 |  5023k| 784.3 | 196M|-1.147528e+00 |-1.122500e+00 |   2.23%
   6500 |   487 |  5063k| 778.3 | 197M|-1.147528e+00 |-1.122500e+00 |   2.23%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
