numerics/lpfeastol = 1e-07
presolving:
(round 1, fast)       576 del vars, 768 del conss, 0 add conss, 528 chg bounds, 0 chg sides, 0 chg coeffs, 48 upgd conss, 0 impls, 48 clqs
(round 2, fast)       672 del vars, 864 del conss, 0 add conss, 576 chg bounds, 0 chg sides, 0 chg coeffs, 48 upgd conss, 0 impls, 48 clqs
(round 3, exhaustive) 672 del vars, 864 del conss, 0 add conss, 576 chg bounds, 0 chg sides, 0 chg coeffs, 96 upgd conss, 0 impls, 48 clqs
   (0.1s) probing cycle finished: starting next cycle
presolving (4 rounds: 4 fast, 2 medium, 2 exhaustive):
 672 deleted vars, 864 deleted constraints, 0 added constraints, 576 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 1152 implications, 48 cliques
presolved problem has 577 variables (192 bin, 0 int, 0 impl, 385 cont) and 266 constraints
     48 constraints of type <soc>
     48 constraints of type <setppc>
     26 constraints of type <linear>
    144 constraints of type <quadratic>
Presolving Time: 0.05
numerics/lpfeastol = 1e-07

  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |     0 |     - |7108k| 0.000000e+00 |      --      |    Inf 

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

      1 |     0 |    20 |     - |7111k| 0.000000e+00 |      --      |    Inf 
      1 |     0 |    36 |     - |7140k| 0.000000e+00 |      --      |    Inf 
      1 |     0 |    77 |     - |7140k| 0.000000e+00 |      --      |    Inf 
      1 |     0 |   136 |     - |7140k| 0.000000e+00 |      --      |    Inf 
      1 |     0 |   242 |     - |7199k| 0.000000e+00 |      --      |    Inf 
      1 |     0 |   374 |     - |7199k| 0.000000e+00 |      --      |    Inf 
      1 |     0 |  1043 |     - |7353k| 0.000000e+00 |      --      |    Inf 
      1 |     0 |  1184 |     - |7482k| 0.000000e+00 |      --      |    Inf 
      1 |     2 |  1184 |     - |7492k| 0.000000e+00 |      --      |    Inf 
    100 |   101 |118672 |1192.0 |  19M| 5.874843e+00 |      --      |    Inf 
    200 |   201 |263071 |1318.6 |  31M| 5.893564e+00 |      --      |    Inf 
    300 |   301 |400006 |1335.6 |  39M| 5.901682e+00 |      --      |    Inf 
    400 |   401 |530461 |1327.8 |  46M| 5.910461e+00 |      --      |    Inf 
    500 |   499 |663019 |1327.4 |  53M| 5.914529e+00 |      --      |    Inf 
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
    600 |   599 |803678 |1340.6 |  61M| 5.917977e+00 |      --      |    Inf 
    700 |   695 |934057 |1335.3 |  70M| 5.920048e+00 |      --      |    Inf 
    800 |   789 |  1063k|1330.8 |  76M| 5.922047e+00 |      --      |    Inf 
    900 |   879 |  1190k|1324.1 |  83M| 5.924358e+00 |      --      |    Inf 
   1000 |   975 |  1326k|1327.0 |  90M| 5.929779e+00 |      --      |    Inf 
   1100 |  1073 |  1465k|1333.2 |  97M| 5.934090e+00 |      --      |    Inf 
   1200 |  1169 |  1591k|1326.5 | 103M| 5.939302e+00 |      --      |    Inf 
   1300 |  1257 |  1718k|1322.7 | 111M| 5.944784e+00 |      --      |    Inf 
   1400 |  1351 |  1855k|1325.9 | 119M| 5.946740e+00 |      --      |    Inf 
   1500 |  1447 |  1981k|1321.2 | 125M| 5.951264e+00 |      --      |    Inf 
   1600 |  1527 |  2100k|1313.0 | 132M| 5.958723e+00 |      --      |    Inf 
   1700 |  1621 |  2222k|1307.8 | 139M| 5.962318e+00 |      --      |    Inf 
   1800 |  1717 |  2360k|1311.7 | 146M| 5.964218e+00 |      --      |    Inf 
   1900 |  1801 |  2475k|1303.2 | 154M| 5.969599e+00 |      --      |    Inf 
   2000 |  1893 |  2599k|1299.9 | 160M| 5.973581e+00 |      --      |    Inf 
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   2100 |  1979 |  2715k|1293.6 | 167M| 5.974833e+00 |      --      |    Inf 
   2200 |  2061 |  2826k|1285.2 | 171M| 5.977423e+00 |      --      |    Inf 
   2300 |  2147 |  2948k|1282.3 | 179M| 5.981808e+00 |      --      |    Inf 
   2400 |  2217 |  3053k|1272.7 | 184M| 5.983521e+00 |      --      |    Inf 
   2500 |  2283 |  3139k|1256.1 | 189M| 5.985894e+00 |      --      |    Inf 
   2600 |  2341 |  3218k|1238.2 | 193M| 5.987862e+00 |      --      |    Inf 
   2700 |  2403 |  3312k|1227.0 | 199M| 5.991060e+00 |      --      |    Inf 
   2800 |  2461 |  3399k|1214.3 | 203M| 5.991935e+00 |      --      |    Inf 
   2900 |  2501 |  3462k|1194.3 | 207M| 5.992037e+00 |      --      |    Inf 
*  2940 |  2518 |  3492k|1188.2 | 208M| 5.992129e+00 | 2.351200e+02 |3823.81%
*  2955 |  2525 |  3504k|1186.0 | 209M| 5.992343e+00 | 1.248288e+02 |1983.14%
   3000 |  2568 |  3545k|1181.9 | 214M| 5.992924e+00 | 1.248288e+02 |1982.94%
   3100 |  2636 |  3631k|1171.7 | 219M| 5.993980e+00 | 1.248288e+02 |1982.57%
Restoration phase is called at point that is almost feasible,
  with constraint violation 2.208997e-10. Abort.
Restoration phase is called at point that is almost feasible,
  with constraint violation 2.208997e-10. Abort.
   3200 |  2708 |  3725k|1164.4 | 224M| 5.994749e+00 | 1.248288e+02 |1982.30%
   3300 |  2766 |  3802k|1152.5 | 228M| 5.995869e+00 | 1.248288e+02 |1981.91%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   3400 |  2832 |  3892k|1145.0 | 232M| 5.997020e+00 | 1.248288e+02 |1981.51%
   3500 |  2902 |  3993k|1141.1 | 238M| 5.998251e+00 | 1.248288e+02 |1981.09%
   3600 |  2964 |  4073k|1131.6 | 242M| 5.998957e+00 | 1.248288e+02 |1980.84%
   3700 |  3036 |  4169k|1126.9 | 247M| 5.999406e+00 | 1.248288e+02 |1980.69%
   3800 |  3094 |  4253k|1119.5 | 253M| 6.000709e+00 | 1.248288e+02 |1980.23%
   3900 |  3176 |  4359k|1118.0 | 259M| 6.001974e+00 | 1.248288e+02 |1979.80%
   4000 |  3246 |  4452k|1113.3 | 264M| 6.002630e+00 | 1.248288e+02 |1979.57%
   4100 |  3322 |  4549k|1109.6 | 270M| 6.003476e+00 | 1.248288e+02 |1979.28%
   4200 |  3398 |  4631k|1102.7 | 274M| 6.003757e+00 | 1.248288e+02 |1979.18%
   4300 |  3458 |  4717k|1097.3 | 278M| 6.004068e+00 | 1.248288e+02 |1979.07%
   4400 |  3538 |  4822k|1096.1 | 283M| 6.004531e+00 | 1.248288e+02 |1978.91%
*  4448 |  3573 |  4868k|1094.7 | 286M| 6.004688e+00 | 8.298429e+01 |1281.99%
   4500 |  3609 |  4906k|1090.5 | 287M| 6.004793e+00 | 8.298429e+01 |1281.97%
*  4579 |  3620 |  5000k|1092.1 | 292M| 6.005707e+00 | 4.458357e+01 | 642.35%
   4600 |  3641 |  5015k|1090.5 | 292M| 6.005822e+00 | 4.458357e+01 | 642.34%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   4700 |  3719 |  5113k|1088.0 | 343M| 6.005829e+00 | 4.458357e+01 | 642.34%
   4800 |  3807 |  5203k|1084.2 | 347M| 6.006587e+00 | 4.458357e+01 | 642.24%
   4900 |  3887 |  5300k|1081.8 | 351M| 6.006633e+00 | 4.458357e+01 | 642.24%
   5000 |  3981 |  5412k|1082.5 | 357M| 6.006809e+00 | 4.458357e+01 | 642.22%
   5100 |  4067 |  5517k|1082.0 | 362M| 6.006809e+00 | 4.458357e+01 | 642.22%
   5200 |  4161 |  5633k|1083.4 | 368M| 6.009616e+00 | 4.458357e+01 | 641.87%
   5300 |  4251 |  5737k|1082.6 | 373M| 6.010024e+00 | 4.458357e+01 | 641.82%
   5400 |  4343 |  5846k|1082.8 | 380M| 6.011360e+00 | 4.458357e+01 | 641.66%
   5500 |  4437 |  5954k|1082.7 | 386M| 6.011362e+00 | 4.458357e+01 | 641.65%
   5600 |  4525 |  6065k|1083.2 | 391M| 6.011362e+00 | 4.458357e+01 | 641.65%
   5700 |  4617 |  6169k|1082.5 | 396M| 6.012278e+00 | 4.458357e+01 | 641.54%
   5800 |  4709 |  6277k|1082.5 | 403M| 6.012356e+00 | 4.458357e+01 | 641.53%
   5900 |  4801 |  6374k|1080.4 | 409M| 6.012488e+00 | 4.458357e+01 | 641.52%
   6000 |  4893 |  6477k|1079.6 | 414M| 6.012648e+00 | 4.458357e+01 | 641.50%
   6100 |  4961 |  6574k|1077.9 | 419M| 6.012883e+00 | 4.458357e+01 | 641.47%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   6200 |  5043 |  6667k|1075.5 | 423M| 6.013044e+00 | 4.458357e+01 | 641.45%
   6300 |  5135 |  6765k|1074.0 | 429M| 6.013467e+00 | 4.458357e+01 | 641.40%
   6400 |  5225 |  6862k|1072.4 | 435M| 6.013467e+00 | 4.458357e+01 | 641.40%
   6500 |  5315 |  6971k|1072.5 | 441M| 6.013467e+00 | 4.458357e+01 | 641.40%
   6600 |  5397 |  7063k|1070.3 | 444M| 6.013467e+00 | 4.458357e+01 | 641.40%
   6700 |  5469 |  7153k|1067.8 | 450M| 6.013467e+00 | 4.458357e+01 | 641.40%
   6800 |  5555 |  7248k|1066.1 | 455M| 6.015325e+00 | 4.458357e+01 | 641.17%
   6900 |  5649 |  7355k|1066.0 | 459M| 6.015492e+00 | 4.458357e+01 | 641.15%
   7000 |  5735 |  7456k|1065.3 | 466M| 6.016347e+00 | 4.458357e+01 | 641.04%
   7100 |  5811 |  7560k|1064.9 | 471M| 6.016388e+00 | 4.458357e+01 | 641.04%
   7200 |  5901 |  7664k|1064.5 | 478M| 6.016388e+00 | 4.458357e+01 | 641.04%
   7300 |  5999 |  7776k|1065.3 | 484M| 6.016388e+00 | 4.458357e+01 | 641.04%
   7400 |  6085 |  7879k|1064.9 | 489M| 6.016388e+00 | 4.458357e+01 | 641.04%
   7500 |  6177 |  7996k|1066.3 | 495M| 6.018992e+00 | 4.458357e+01 | 640.71%
   7600 |  6273 |  8103k|1066.4 | 501M| 6.019069e+00 | 4.458357e+01 | 640.71%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   7700 |  6345 |  8194k|1064.3 | 505M| 6.019069e+00 | 4.458357e+01 | 640.71%
   7800 |  6425 |  8287k|1062.5 | 510M| 6.019069e+00 | 4.458357e+01 | 640.71%
   7900 |  6513 |  8393k|1062.6 | 516M| 6.019923e+00 | 4.458357e+01 | 640.60%
