presolving:
(round 1, fast)       61 del vars, 133 del conss, 0 add conss, 120 chg bounds, 0 chg sides, 0 chg coeffs, 12 upgd conss, 0 impls, 19 clqs
(round 2, fast)       73 del vars, 145 del conss, 0 add conss, 132 chg bounds, 0 chg sides, 0 chg coeffs, 12 upgd conss, 0 impls, 19 clqs
(round 3, exhaustive) 73 del vars, 145 del conss, 0 add conss, 132 chg bounds, 0 chg sides, 0 chg coeffs, 31 upgd conss, 0 impls, 19 clqs
(round 4, exhaustive) 73 del vars, 145 del conss, 0 add conss, 132 chg bounds, 0 chg sides, 0 chg coeffs, 43 upgd conss, 0 impls, 19 clqs
   (0.0s) probing: 63/72 (87.5%) - 0 fixings, 0 aggregations, 24 implications, 0 bound changes
   (0.0s) probing aborted: 50/50 successive totally useless probings
presolving (5 rounds: 5 fast, 3 medium, 3 exhaustive):
 73 deleted vars, 145 deleted constraints, 0 added constraints, 132 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 36 implications, 19 cliques
presolved problem has 112 variables (72 bin, 0 int, 0 impl, 40 cont) and 71 constraints
     12 constraints of type <soc>
     12 constraints of type <varbound>
     19 constraints of type <setppc>
     28 constraints of type <linear>
Presolving Time: 0.00

  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |   107 |     - |1807k| 8.474687e+04 |      --      |    Inf 

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

F     1 |     0 |   127 |     - |1840k| 8.474687e+04 | 3.913186e+05 | 361.75%
      1 |     0 |   175 |     - |1971k| 1.051656e+05 | 3.913186e+05 | 272.10%
      1 |     0 |   175 |     - |1973k| 1.051656e+05 | 3.913186e+05 | 272.10%
      1 |     0 |   199 |     - |2218k| 1.095351e+05 | 3.913186e+05 | 257.25%
      1 |     0 |   228 |     - |2830k| 1.113718e+05 | 3.913186e+05 | 251.36%
      1 |     0 |   252 |     - |2905k| 1.124153e+05 | 3.913186e+05 | 248.10%
      1 |     0 |   295 |     - |2905k| 1.133225e+05 | 3.913186e+05 | 245.31%
      1 |     0 |   317 |     - |2907k| 1.136596e+05 | 3.913186e+05 | 244.29%
      1 |     0 |   350 |     - |2914k| 1.138763e+05 | 3.913186e+05 | 243.63%
      1 |     0 |   357 |     - |3305k| 1.138887e+05 | 3.913186e+05 | 243.60%
      1 |     0 |   377 |     - |3305k| 1.139470e+05 | 3.913186e+05 | 243.42%
      1 |     0 |   389 |     - |3579k| 1.139649e+05 | 3.913186e+05 | 243.37%
      1 |     0 |   400 |     - |3639k| 1.139724e+05 | 3.913186e+05 | 243.34%
      1 |     0 |   403 |     - |3639k| 1.139737e+05 | 3.913186e+05 | 243.34%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |   491 |     - |3639k| 1.390241e+05 | 3.913186e+05 | 181.48%
      1 |     0 |   512 |     - |3640k| 1.404158e+05 | 3.913186e+05 | 178.69%
      1 |     0 |   515 |     - |3640k| 1.404825e+05 | 3.913186e+05 | 178.55%
      1 |     0 |   518 |     - |3640k| 1.404916e+05 | 3.913186e+05 | 178.54%
      1 |     0 |   558 |     - |3640k| 1.436674e+05 | 3.913186e+05 | 172.38%
