WARNING: Method definition require(Symbol) in module Base at loading.jl:345 overwritten in module ConicBenchmarkUtilities at /home/ubuntu/.julia/v0.5/Requires/src/require.jl:12.
WARNING: Base.ASCIIString is deprecated, use String instead.
  likely near /home/ubuntu/run.jl:185
WARNING: Base.ASCIIString is deprecated, use String instead.
  likely near /home/ubuntu/run.jl:185
WARNING: Base.ASCIIString is deprecated, use String instead.
  likely near /home/ubuntu/run.jl:185
WARNING: Base.ASCIIString is deprecated, use String instead.
  likely near /home/ubuntu/run.jl:185
#SOLVERNAME# MOSEK_MISOCP
#SOLVER# Mosek.MosekMathProgSolverInterface.MosekSolver(Any[(:LOG,1),(:NUM_THREADS,1),(:OPTIMIZER_MAX_TIME,3600.0),(:MIO_TOL_REL_GAP,1.0e-5)])
#FILENAME# 50_0_5_w.cbf.gz
#INSTANCE# 50_0_5_w
#TIMELIMIT# 3600.0
Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : CONIC (conic optimization problem)
  Constraints            : 20267           
  Cones                  : 1200            
  Scalar variables       : 10800           
  Matrix variables       : 0               
  Integer variables      : 1200            

Optimizer started.
Mixed integer optimizer started.
Threads used: 1
Presolve started.
Presolve terminated. Time = 0.45
Presolved problem: 5591 variables, 11069 constraints, 55662 non-zeros
Presolved problem: 0 general integer, 1143 binary, 4448 continuous
Clique table size: 418
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        0        0        NA                   9.8812497513e+06     NA          1.2   
0        1        0        0        1.0323964990e+07     9.8812497513e+06     4.29        5.5   
Cut generation started.
0        2        0        0        1.0323964990e+07     9.8812497513e+06     4.29        7.8   
Cut generation terminated. Time = 1.49
15       18       16       9        1.0323964990e+07     9.8823221281e+06     4.28        20.3  
31       34       32       25       1.0323964990e+07     9.8823221281e+06     4.28        32.0  
46       49       47       40       1.0323964990e+07     9.8823221281e+06     4.28        43.0  
61       64       62       55       1.0323964990e+07     9.8823221281e+06     4.28        54.0  
77       80       78       71       1.0323964990e+07     9.8823221281e+06     4.28        65.5  
93       96       94       87       1.0323964990e+07     9.8823221281e+06     4.28        76.7  
109      112      110      103      1.0323964990e+07     9.8823221281e+06     4.28        86.9  
125      128      126      119      1.0323964990e+07     9.8823221281e+06     4.28        97.1  
141      144      142      135      1.0323964990e+07     9.8823221281e+06     4.28        107.3 
158      161      159      152      1.0323964990e+07     9.8823221281e+06     4.28        117.4 
175      178      176      169      1.0323964990e+07     9.8823221281e+06     4.28        126.9 
192      195      193      186      1.0323964990e+07     9.8823221281e+06     4.28        136.4 
210      213      211      204      1.0323964990e+07     9.8823221281e+06     4.28        145.1 
229      232      230      223      1.0323964990e+07     9.8823221281e+06     4.28        152.9 
248      251      249      242      1.0323964990e+07     9.8823221281e+06     4.28        160.7 
267      270      268      261      1.0323964990e+07     9.8823221281e+06     4.28        168.2 
