WARNING: Method definition require(Symbol) in module Base at loading.jl:345 overwritten in module ConicBenchmarkUtilities at /home/ubuntu/.julia/v0.5/Requires/src/require.jl:12.
WARNING: Base.ASCIIString is deprecated, use String instead.
  likely near /home/ubuntu/run.jl:185
WARNING: Base.ASCIIString is deprecated, use String instead.
  likely near /home/ubuntu/run.jl:185
WARNING: Base.ASCIIString is deprecated, use String instead.
  likely near /home/ubuntu/run.jl:185
WARNING: Base.ASCIIString is deprecated, use String instead.
  likely near /home/ubuntu/run.jl:185
#SOLVERNAME# MOSEK_MISOCP
#SOLVER# Mosek.MosekMathProgSolverInterface.MosekSolver(Any[(:LOG,1),(:NUM_THREADS,1),(:OPTIMIZER_MAX_TIME,3600.0),(:MIO_TOL_REL_GAP,1.0e-5)])
#FILENAME# achtziger_stolpe07-52flowc.cbf.gz
#INSTANCE# achtziger_stolpe07-52flowc
#TIMELIMIT# 3600.0
Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : CONIC (conic optimization problem)
  Constraints            : 338             
  Cones                  : 72              
  Scalar variables       : 433             
  Matrix variables       : 0               
  Integer variables      : 72              

Optimizer started.
Mixed integer optimizer started.
Threads used: 1
Presolve started.
Presolve terminated. Time = 0.00
Presolved problem: 216 variables, 49 constraints, 269 non-zeros
Presolved problem: 0 general integer, 72 binary, 144 continuous
Clique table size: 0
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        0        0        NA                   4.6327922114e+01     NA          0.0   
Cut generation started.
0        2        0        0        NA                   4.6327922114e+01     NA          0.1   
Cut generation terminated. Time = 0.01
15       18       16       8        NA                   4.6600964986e+01     NA          0.1   
31       34       32       24       NA                   4.6600964986e+01     NA          0.2   
63       66       52       4        NA                   4.6694045349e+01     NA          0.3   
94       97       83       17       NA                   4.6735050665e+01     NA          0.4   
128      128      111      14       NA                   4.6750615108e+01     NA          0.5   
158      158      141      16       NA                   4.6870497820e+01     NA          0.6   
191      188      168      12       NA                   4.6872186019e+01     NA          0.7   
220      217      197      15       NA                   4.6909398155e+01     NA          0.8   
261      247      216      45       NA                   4.6909398155e+01     NA          0.9   
292      277      243      6        NA                   4.6930337247e+01     NA          1.0   
326      307      269      41       NA                   4.6935010706e+01     NA          1.1   
357      337      296      7        NA                   4.6982931232e+01     NA          1.3   
388      368      327      36       NA                   4.6983173128e+01     NA          1.4   
426      398      347      17       NA                   4.7020170017e+01     NA          1.5   
459      429      376      37       NA                   4.7029246564e+01     NA          1.6   
497      459      398      19       NA                   4.7058431070e+01     NA          1.7   
528      490      429      27       NA                   4.7119284713e+01     NA          1.8   
575      520      440      24       NA                   4.7119284713e+01     NA          1.9   
607      551      470      10       NA                   4.7152517819e+01     NA          2.0   
644      581      493      45       NA                   4.7166485366e+01     NA          2.1   
678      612      519      22       NA                   4.7173405715e+01     NA          2.2   
706      640      547      31       NA                   4.7180499975e+01     NA          2.3   
740      671      573      21       NA                   4.7204457514e+01     NA          2.4   
777      701      596      33       NA                   4.7210042563e+01     NA          2.5   
810      732      625      29       NA                   4.7237353676e+01     NA          2.6   
845      762      650      36       NA                   4.7244875806e+01     NA          2.7   
878      793      677      25       NA                   4.7258699772e+01     NA          2.8   
912      824      705      40       NA                   4.7266464735e+01     NA          2.9   
946      855      731      31       NA                   4.7283927330e+01     NA          3.0   
985      885      750      22       NA                   4.7285579056e+01     NA          3.1   
1016     916      781      29       NA                   4.7296933986e+01     NA          3.2   
1054     947      803      31       NA                   4.7297743660e+01     NA          3.3   
1086     978      833      25       NA                   4.7305353547e+01     NA          3.4   
1122     1009     857      8        NA                   4.7326229610e+01     NA          3.6   
1153     1040     888      27       NA                   4.7329278479e+01     NA          3.7   
1192     1071     909      22       NA                   4.7336557977e+01     NA          3.8   
1226     1101     935      40       NA                   4.7340148606e+01     NA          3.9   
1258     1132     963      17       NA                   4.7340195500e+01     NA          4.0   
1291     1162     990      40       NA                   4.7340658108e+01     NA          4.1   
1326     1192     1013     36       NA                   4.7348515959e+01     NA          4.2   
1362     1223     1039     42       NA                   4.7359398186e+01     NA          4.3   
1398     1253     1063     7        NA                   4.7365203452e+01     NA          4.4   
1437     1284     1086     28       NA                   4.7374858981e+01     NA          4.5   
1470     1315     1113     28       NA                   4.7390204103e+01     NA          4.6   
1505     1347     1140     38       NA                   4.7390957821e+01     NA          4.7   
1537     1378     1170     35       NA                   4.7395964448e+01     NA          4.8   
1576     1408     1189     20       NA                   4.7400025423e+01     NA          4.9   
1611     1439     1216     43       NA                   4.7411615233e+01     NA          5.0   
1644     1469     1243     9        NA                   4.7418195049e+01     NA          5.1   
1678     1500     1271     38       NA                   4.7418195049e+01     NA          5.2   
1717     1530     1290     17       NA                   4.7421409858e+01     NA          5.3   
1747     1560     1320     33       NA                   4.7423258267e+01     NA          5.4   
1788     1590     1339     9        NA                   4.7434587609e+01     NA          5.5   
1819     1621     1370     22       NA                   4.7439024402e+01     NA          5.6   
1866     1651     1381     30       NA                   4.7439024402e+01     NA          5.7   
1898     1682     1411     23       NA                   4.7455664378e+01     NA          5.8   
1934     1713     1435     10       NA                   4.7461881735e+01     NA          5.9   
