WARNING: Method definition require(Symbol) in module Base at loading.jl:345 overwritten in module ConicBenchmarkUtilities at /home/ubuntu/.julia/v0.5/Requires/src/require.jl:12.
#SOLVERNAME# PAJ_SCIP_tols_MOSEK
#SOLVER# Pajarito.PajaritoSolver(2,3600.0,1.0e-5,false,SCIP.SCIPSolver(("display/verblevel",0,"limits/gap",0.0,"limits/time",3600.0,"numerics/feastol",1.0e-8)),MathProgBase.DefaultMIPSolver(),0,false,true,Mosek.MosekMathProgSolverInterface.MosekSolver(Any[(:LOG,0),(:NUM_THREADS,1),(:OPTIMIZER_MAX_TIME,120.0)]),true,false,false,true,false,true,false,true,true,true,true,false,false,true,false,false,false,true,1.0e-10,0.0001,1.0e-6,0.01,1.0e-6)
#INSTANCE# pp-n10-d10000.cbf.gz
#TIMELIMIT# 3600.0

Transforming original data......Done     0.00s

Creating conic model data......Done     0.00s

Creating MIP model......Done     0.00s

Cone types summary:
Cone       | Count    | Min dim  | Max dim 
       SOC |       10 |        3 |        3

Solving conic relaxation......Done     0.00s
 - Relaxation status    =        Optimal
 - Relaxation objective =    1481.455068

Creating conic subproblem model......Done     0.00s

Starting iterative outer approximation algorithm

Iter | Best obj       | OA obj         | Rel gap     | Time (s)   
   1 |  +9.726639e+03 |  +1.481456e+03 |   8.477e-01 |   4.344e-02
   2 |  +3.564135e+03 |  +1.481456e+03 |   5.843e-01 |   6.576e-02
   3 |  +2.342901e+03 |  +1.481456e+03 |   3.677e-01 |   9.680e-02
   4 |  +1.812059e+03 |  +1.481456e+03 |   1.824e-01 |   1.376e-01
   5 |  +1.597719e+03 |  +1.481456e+03 |   7.277e-02 |   1.791e-01
   6 |  +1.518067e+03 |  +1.481456e+03 |   2.412e-02 |   2.190e-01
   7 |  +1.490897e+03 |  +1.481456e+03 |   6.332e-03 |   2.622e-01
   8 |  +1.483580e+03 |  +1.481457e+03 |   1.431e-03 |   3.160e-01
   9 |  +1.481943e+03 |  +1.481458e+03 |   3.271e-04 |   3.694e-01
  10 |  +1.481544e+03 |  +1.481458e+03 |   5.768e-05 |   4.292e-01
  11 |  +1.481502e+03 |  +1.481458e+03 |   2.931e-05 |   4.862e-01
  12 |  +1.481488e+03 |  +1.481463e+03 |   1.686e-05 |   5.412e-01
  13 |  +1.481488e+03 |  +1.481464e+03 |   1.627e-05 |   6.032e-01
  14 |  +1.481488e+03 |  +1.481464e+03 |   1.610e-05 |   6.722e-01
  15 |  +1.481488e+03 |  +1.481465e+03 |   1.585e-05 |   7.517e-01
  16 |  +1.481488e+03 |  +1.481465e+03 |   1.582e-05 |   8.276e-01
  17 |  +1.481488e+03 |  +1.481465e+03 |   1.582e-05 |   9.035e-01
  18 |  +1.481488e+03 |  +1.481465e+03 |   1.582e-05 |   9.790e-01
  19 |  +1.481488e+03 |  +1.481465e+03 |   1.582e-05 |   1.058e+00
  20 |  +1.481488e+03 |  +1.481465e+03 |   1.582e-05 |   1.138e+00
  21 |  +1.481488e+03 |  +1.481465e+03 |   1.578e-05 |   1.215e+00
  22 |  +1.481488e+03 |  +1.481465e+03 |   1.578e-05 |   1.293e+00
  23 |  +1.481488e+03 |  +1.481465e+03 |   1.578e-05 |   1.371e+00
  24 |  +1.481488e+03 |  +1.481465e+03 |   1.578e-05 |   1.449e+00
  25 |  +1.481488e+03 |  +1.481465e+03 |   1.578e-05 |   1.524e+00
  26 |  +1.481488e+03 |  +1.481465e+03 |   1.578e-05 |   1.611e+00
  27 |  +1.481488e+03 |  +1.481465e+03 |   1.578e-05 |   1.689e+00
  28 |  +1.481488e+03 |  +1.481465e+03 |   1.578e-05 |   1.763e+00
  29 |  +1.481488e+03 |  +1.481465e+03 |   1.578e-05 |   1.843e+00
  30 |  +1.481488e+03 |  +1.481465e+03 |   1.578e-05 |   1.923e+00
  31 |  +1.481488e+03 |  +1.481465e+03 |   1.578e-05 |   2.005e+00
  32 |  +1.481488e+03 |  +1.481465e+03 |   1.578e-05 |   2.081e+00
  33 |  +1.481488e+03 |  +1.481465e+03 |   1.578e-05 |   2.162e+00
  34 |  +1.481488e+03 |  +1.481465e+03 |   1.578e-05 |   2.244e+00
  35 |  +1.481488e+03 |  +1.481465e+03 |   1.578e-05 |   2.328e+00
  36 |  +1.481488e+03 |  +1.481465e+03 |   1.578e-05 |   2.406e+00
  37 |  +1.481488e+03 |  +1.481465e+03 |   1.578e-05 |   2.490e+00
  38 |  +1.481488e+03 |  +1.481465e+03 |   1.578e-05 |   2.573e+00
  39 |  +1.481488e+03 |  +1.481465e+03 |   1.578e-05 |   2.659e+00
  40 |  +1.481488e+03 |  +1.481465e+03 |   1.578e-05 |   2.744e+00
  41 |  +1.481488e+03 |  +1.481465e+03 |   1.578e-05 |   2.830e+00
  42 |  +1.481488e+03 |  +1.481465e+03 |   1.578e-05 |   2.918e+00
  43 |  +1.481488e+03 |  +1.481465e+03 |   1.575e-05 |   3.005e+00
  44 |  +1.481488e+03 |  +1.481465e+03 |   1.575e-05 |   3.090e+00
  45 |  +1.481488e+03 |  +1.481465e+03 |   1.575e-05 |   3.172e+00
  46 |  +1.481488e+03 |  +1.481465e+03 |   1.575e-05 |   3.254e+00
  47 |  +1.481488e+03 |  +1.481465e+03 |   1.575e-05 |   3.341e+00
  48 |  +1.481488e+03 |  +1.481465e+03 |   1.575e-05 |   3.428e+00
  49 |  +1.481488e+03 |  +1.481465e+03 |   1.575e-05 |   3.517e+00
  50 |  +1.481488e+03 |  +1.481465e+03 |   1.575e-05 |   3.624e+00
  51 |  +1.481488e+03 |  +1.481465e+03 |   1.575e-05 |   3.714e+00
  52 |  +1.481488e+03 |  +1.481465e+03 |   1.575e-05 |   3.804e+00
  53 |  +1.481488e+03 |  +1.481465e+03 |   1.575e-05 |   3.895e+00
  54 |  +1.481488e+03 |  +1.481465e+03 |   1.575e-05 |   3.988e+00
  55 |  +1.481488e+03 |  +1.481465e+03 |   1.575e-05 |   4.074e+00
  56 |  +1.481488e+03 |  +1.481465e+03 |   1.575e-05 |   4.164e+00
  57 |  +1.481488e+03 |  +1.481465e+03 |   1.575e-05 |   4.256e+00
  58 |  +1.481488e+03 |  +1.481465e+03 |   1.575e-05 |   4.349e+00
  59 |  +1.481488e+03 |  +1.481465e+03 |   1.574e-05 |   4.441e+00
  60 |  +1.481488e+03 |  +1.481465e+03 |   1.574e-05 |   4.533e+00
  61 |  +1.481488e+03 |  +1.481465e+03 |   1.574e-05 |   4.626e+00
