#SOLVERNAME# PAJ_CPLEX_MOSEK
#SOLVER# Pajarito.PajaritoSolver(3,300.0,1.0e-5,false,CPLEX.CplexSolver(Any[(:CPX_PARAM_THREADS,1),(:CPX_PARAM_SCRIND,0),(:CPX_PARAM_EPINT,1.0e-8),(:CPX_PARAM_EPRHS,1.0e-7),(:CPX_PARAM_EPGAP,0.0)]),Pajarito.UnsetSolver(),0,false,true,Mosek.MosekMathProgSolverInterface.MosekSolver(Any[(:LOG,0),(:NUM_THREADS,1)]),true,true,false,false,true,false,false,true,false,true,true,true,true,false,true,10.0,false,false,false,true,1.0e-10,1.0e-6)
#INSTANCE# clay0203h.cbf.gz
#TIMELIMIT# 300.0

Problem dimensions:
       variables |       139
     constraints |       439
   nonzeros in A |       817

Cones summary:
Cone             | Count     | Min dim.  | Max dim. 
    Second order |        48 |         3 |         3

Variable types:
      continuous |       121
         integer |        18

Transforming data...               0.00s

Creating conic subproblem...       0.00s

Building MIP model...              0.00s

Solving conic relaxation...        0.01s
 - Relaxation status    =        Optimal
 - Relaxation objective =       0.000000

Starting iterative algorithm

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
    1 |           +Inf |  +3.560000e+03 |         Inf |   1.398e-01

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
    2 |           +Inf |  +3.560000e+03 |         Inf |   2.931e-01

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
    3 |  +4.186250e+04 |  +4.078754e+04 |   2.568e-02 |   5.955e-01

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
    4 |  +4.157326e+04 |  +4.125758e+04 |   7.593e-03 |   9.304e-01

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
    5 |  +4.157326e+04 |  +4.136933e+04 |   4.905e-03 |   1.203e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
    6 |  +4.157326e+04 |  +4.157256e+04 |   1.686e-05 |   1.602e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
    7 |  +4.157326e+04 |  +4.157256e+04 |   1.686e-05 |   2.024e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
    8 |  +4.157326e+04 |  +4.157256e+04 |   1.682e-05 |   2.481e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
    9 |  +4.157326e+04 |  +4.157256e+04 |   1.682e-05 |   3.007e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   10 |  +4.157326e+04 |  +4.157256e+04 |   1.682e-05 |   3.396e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   11 |  +4.157326e+04 |  +4.157256e+04 |   1.682e-05 |   3.684e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   12 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   4.040e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   13 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   4.456e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   14 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   4.854e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   15 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   5.198e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   16 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   5.569e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   17 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   5.860e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   18 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   6.089e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   19 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   6.381e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   20 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   6.676e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   21 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   7.064e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   22 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   7.323e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   23 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   7.541e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   24 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   7.902e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   25 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   8.234e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   26 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   8.791e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   27 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   9.082e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   28 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   9.302e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   29 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   9.555e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   30 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   1.009e+01

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   31 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   1.041e+01

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   32 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   1.063e+01

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   33 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   1.114e+01

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   34 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   1.144e+01

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   35 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   1.168e+01

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   36 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   1.220e+01

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   37 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   1.279e+01

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   38 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   1.302e+01

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   39 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   1.344e+01

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   40 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   1.393e+01

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   41 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   1.426e+01

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   42 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   1.451e+01

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   43 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   1.499e+01

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   44 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   1.528e+01

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   45 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   1.574e+01

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   46 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   1.607e+01

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   47 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   1.642e+01

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   48 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   1.695e+01

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   49 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   1.725e+01

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   50 |  +4.157326e+04 |  +4.157256e+04 |   1.680e-05 |   1.757e+01

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
