----------------------------------------------------------------------------
	SCS v1.2.6 - Splitting Conic Solver
	(c) Brendan O'Donoghue, Stanford University, 2012-2016
----------------------------------------------------------------------------
Lin-sys: sparse-direct, nnz in A = 244
eps = 1.00e-04, alpha = 1.80, max_iters = 50000, normalize = 1, scale = 5.00
Variables n = 58, constraints m = 175
Cones:	primal zero / dual free vars: 22
	linear vars: 49
	soc vars: 12, soc blks: 2
	sd vars: 56, sd blks: 2
	exp vars: 36, dual exp vars: 0
Setup time: 2.94e-04s
----------------------------------------------------------------------------
 Iter | pri res | dua res | rel gap | pri obj | dua obj | kap/tau | time (s)
----------------------------------------------------------------------------
     0|      inf       inf      -nan      -inf      -inf       inf  5.67e-04 
   100| 4.81e-03  6.73e-03  1.11e-02 -1.25e-01 -1.11e-01  7.11e-17  6.13e-02 
   200| 2.98e-03  3.08e-03  1.90e-02 -1.20e-01 -9.74e-02  0.00e+00  1.32e-01 
   300| 2.28e-03  2.90e-03  1.86e-02 -1.11e-01 -8.84e-02  0.00e+00  2.10e-01 
   400| 2.10e-03  3.24e-03  2.13e-02 -1.06e-01 -8.07e-02  6.68e-17  2.65e-01 
   500| 1.57e-03  3.31e-03  2.16e-02 -9.85e-02 -7.31e-02  0.00e+00  3.07e-01 
   600| 7.94e-04  2.08e-03  1.55e-02 -8.61e-02 -6.83e-02  0.00e+00  3.45e-01 
   700| 4.91e-04  1.51e-03  1.19e-02 -8.01e-02 -6.64e-02  0.00e+00  3.80e-01 
   800| 3.47e-04  1.22e-03  8.94e-03 -7.57e-02 -6.55e-02  0.00e+00  4.14e-01 
   900| 2.43e-04  1.01e-03  6.97e-03 -7.30e-02 -6.51e-02  7.62e-17  4.49e-01 
  1000| 1.87e-04  8.80e-04  5.31e-03 -7.10e-02 -6.49e-02  0.00e+00  4.84e-01 
  1100| 1.33e-04  7.85e-04  4.19e-03 -6.97e-02 -6.49e-02  0.00e+00  5.19e-01 
  1200| 1.06e-04  7.17e-04  3.23e-03 -6.86e-02 -6.49e-02  0.00e+00  5.54e-01 
  1300| 7.95e-05  6.66e-04  2.54e-03 -6.79e-02 -6.50e-02  0.00e+00  5.89e-01 
  1400| 6.48e-05  6.26e-04  1.97e-03 -6.73e-02 -6.51e-02  0.00e+00  6.24e-01 
  1500| 5.23e-05  5.95e-04  1.54e-03 -6.69e-02 -6.51e-02  0.00e+00  6.58e-01 
  1600| 4.51e-05  5.70e-04  1.20e-03 -6.65e-02 -6.52e-02  0.00e+00  6.93e-01 
  1700| 4.02e-05  5.50e-04  9.43e-04 -6.63e-02 -6.52e-02  0.00e+00  7.28e-01 
  1800| 3.74e-05  5.33e-04  7.37e-04 -6.61e-02 -6.53e-02  0.00e+00  7.63e-01 
  1900| 3.59e-05  5.18e-04  5.77e-04 -6.60e-02 -6.53e-02  0.00e+00  7.97e-01 
  2000| 3.51e-05  5.06e-04  4.52e-04 -6.59e-02 -6.54e-02  0.00e+00  8.32e-01 
  2100| 3.47e-05  4.95e-04  3.54e-04 -6.58e-02 -6.54e-02  0.00e+00  8.67e-01 
  2200| 3.45e-05  4.85e-04  2.78e-04 -6.58e-02 -6.55e-02  0.00e+00  9.01e-01 
