instance_type,command
m4.xlarge,julia run.jl -instfile PAJ_GUROBI_MOSEK 3600 data/ setA.txt
m4.xlarge,julia run.jl -instfile PAJ_GUROBI_MOSEK 3600 data/ setB.txt
m4.xlarge,julia run.jl -instfile PAJ_GUROBI_MOSEK 3600 data/ setC.txt
m4.xlarge,julia run.jl -instfile PAJ_GUROBI_MOSEK 3600 data/ setD.txt
m4.xlarge,julia run.jl -instfile PAJ_GUROBI_MOSEK 3600 data/ setE.txt
m4.xlarge,julia run.jl -instfile PAJ_MSD_GUROBI_MOSEK 3600 data/ setA.txt
m4.xlarge,julia run.jl -instfile PAJ_MSD_GUROBI_MOSEK 3600 data/ setB.txt
m4.xlarge,julia run.jl -instfile PAJ_MSD_GUROBI_MOSEK 3600 data/ setC.txt
m4.xlarge,julia run.jl -instfile PAJ_MSD_GUROBI_MOSEK 3600 data/ setD.txt
m4.xlarge,julia run.jl -instfile PAJ_MSD_GUROBI_MOSEK 3600 data/ setE.txt
m4.xlarge,julia run.jl -instfile GUROBI_MISOCP 3600 data/ setA.txt
m4.xlarge,julia run.jl -instfile GUROBI_MISOCP 3600 data/ setB.txt
m4.xlarge,julia run.jl -instfile GUROBI_MISOCP 3600 data/ setC.txt
m4.xlarge,julia run.jl -instfile GUROBI_MISOCP 3600 data/ setD.txt
m4.xlarge,julia run.jl -instfile GUROBI_MISOCP 3600 data/ setE.txt
m4.xlarge,julia run.jl -instfile MOSEK_MISOCP 3600 data/ setA.txt
m4.xlarge,julia run.jl -instfile MOSEK_MISOCP 3600 data/ setB.txt
m4.xlarge,julia run.jl -instfile MOSEK_MISOCP 3600 data/ setC.txt
m4.xlarge,julia run.jl -instfile MOSEK_MISOCP 3600 data/ setD.txt
m4.xlarge,julia run.jl -instfile MOSEK_MISOCP 3600 data/ setE.txt
