#SOLVERNAME# PAJ_CPLEX_MOSEK_subponly_noinit_nopreslv
#SOLVER# Pajarito.PajaritoSolver(3, 3600.0, 1.0e-5, false, CPLEX.CplexSolver(Any[(:CPX_PARAM_THREADS, 1), (:CPX_PARAM_SCRIND, 0), (:CPX_PARAM_EPINT, 1.0e-9), (:CPX_PARAM_EPRHS, 1.0e-8), (:CPX_PARAM_EPGAP, 0.0), (:CPX_PARAM_PREIND, 0)]), Pajarito.UnsetSolver(), 0, false, true, Mosek.MosekSolver(Any[(:LOG, 0), (:NUM_THREADS, 1), (:MSK_DPAR_INTPNT_CO_TOL_REL_GAP, 1.0e-10), (:MSK_DPAR_INTPNT_CO_TOL_PFEAS, 1.0e-10), (:MSK_DPAR_INTPNT_CO_TOL_DFEAS, 1.0e-10), (:MSK_DPAR_INTPNT_CO_TOL_NEAR_REL, 1000.0)]), true, true, false, false, true, false, false, true, false, false, false, false, false, false, true, 10.0, false, false, false, false, 1.0e-12, 1.0e-8, false, "")
#INSTANCE# expdesign_E_16_8.cbf.gz
#TIMELIMIT# 3600.0

Problem dimensions:
       variables |      82
     constraints |     162
   nonzeros in A |    1238

Cones summary:
Cone             | Count   | Min dim.  | Max dim. 
   Pos. semidef. |       1 |       8^2 |       8^2

Variable types:
      continuous |      66
         integer |      16

Transforming data...               0.00s

Creating conic subproblem...       0.00s

Building MIP model...              0.00s

Solving conic relaxation...        0.01s
 - Relaxation status    =        Optimal
 - Relaxation bound     =      -0.211806

Starting iterative algorithm

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
    1 |  -1.067130e-01 |  -2.118056e-01 |   9.847e-01 |   1.768e-01

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
    2 |  -1.067130e-01 |  -2.118056e-01 |   9.847e-01 |   2.824e-01

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
    3 |  -1.067130e-01 |  -2.118056e-01 |   9.847e-01 |   3.014e-01

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
    4 |  -1.067130e-01 |  -2.118056e-01 |   9.847e-01 |   6.637e-01

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
    5 |  -1.067130e-01 |  -2.118056e-01 |   9.847e-01 |   1.065e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
    6 |  -1.067130e-01 |  -2.117927e-01 |   9.846e-01 |   1.136e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
    7 |  -1.328801e-01 |  -2.117361e-01 |   5.934e-01 |   1.199e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
    8 |  -1.550020e-01 |  -2.091076e-01 |   3.490e-01 |   1.408e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
    9 |  -1.551466e-01 |  -2.089679e-01 |   3.469e-01 |   1.851e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
   10 |  -1.551466e-01 |  -2.088856e-01 |   3.464e-01 |   1.993e+00

Iter. | Best feasible  | Best bound     | Rel. gap    | Time (s)   
