numerics/lpfeastol = 1e-07
presolving:
(round 1, fast)       312 del vars, 416 del conss, 0 add conss, 312 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
   (0.0s) probing cycle finished: starting next cycle
presolving (2 rounds: 2 fast, 1 medium, 1 exhaustive):
 312 deleted vars, 416 deleted constraints, 0 added constraints, 312 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 208 implications, 0 cliques
presolved problem has 313 variables (104 bin, 0 int, 0 impl, 209 cont) and 132 constraints
     28 constraints of type <linear>
    104 constraints of type <quadratic>
Presolving Time: 0.02
numerics/lpfeastol = 1e-07

  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |    72 |     - |3764k| 0.000000e+00 |      --      |    Inf 

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

U     1 |     0 |    72 |     - |3875k| 0.000000e+00 | 1.000000e+05 |    Inf 
U     1 |     0 |    72 |     - |3902k| 0.000000e+00 | 1.065683e+01 |    Inf 
      1 |     0 |    98 |     - |3902k| 0.000000e+00 | 1.065683e+01 |    Inf 
      1 |     0 |    98 |     - |3902k| 0.000000e+00 | 1.065683e+01 |    Inf 
      1 |     0 |   122 |     - |3916k| 0.000000e+00 | 1.065683e+01 |    Inf 
      1 |     0 |   159 |     - |3916k| 0.000000e+00 | 1.065683e+01 |    Inf 
      1 |     0 |   192 |     - |4077k| 0.000000e+00 | 1.065683e+01 |    Inf 
      1 |     0 |   267 |     - |4077k| 0.000000e+00 | 1.065683e+01 |    Inf 
      1 |     0 |   363 |     - |4200k| 0.000000e+00 | 1.065683e+01 |    Inf 
      1 |     0 |  2314 |     - |4641k| 0.000000e+00 | 1.065683e+01 |    Inf 
      1 |     0 |  2512 |     - |4641k| 4.949827e-03 | 1.065683e+01 |  Large 
      1 |     0 |  2512 |     - |4641k| 4.949827e-03 | 1.065683e+01 |  Large 
      1 |     0 |  2721 |     - |4758k| 4.462268e-02 | 1.065683e+01 |  Large 
      1 |     0 |  2721 |     - |4758k| 4.462268e-02 | 1.065683e+01 |  Large 
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |  2990 |     - |4783k| 2.324252e-01 | 1.065683e+01 |4485.06%
      1 |     0 |  2990 |     - |4788k| 2.324252e-01 | 1.065683e+01 |4485.06%
      1 |     0 |  3135 |     - |4856k| 4.482696e-01 | 1.065683e+01 |2277.33%
      1 |     0 |  3135 |     - |4859k| 4.482696e-01 | 1.065683e+01 |2277.33%
      1 |     0 |  3279 |     - |4861k| 7.160250e-01 | 1.065683e+01 |1388.33%
      1 |     0 |  3279 |     - |4861k| 7.160250e-01 | 1.065683e+01 |1388.33%
      1 |     0 |  3429 |     - |5100k| 9.327417e-01 | 1.065683e+01 |1042.53%
      1 |     0 |  3429 |     - |5100k| 9.327417e-01 | 1.065683e+01 |1042.53%
      1 |     0 |  3588 |     - |5110k| 1.049113e+00 | 1.065683e+01 | 915.79%
      1 |     0 |  3588 |     - |5111k| 1.049113e+00 | 1.065683e+01 | 915.79%
      1 |     0 |  3755 |     - |5252k| 1.103963e+00 | 1.065683e+01 | 865.33%
      1 |     0 |  3755 |     - |5267k| 1.103963e+00 | 1.065683e+01 | 865.33%
      1 |     0 |  3873 |     - |5271k| 1.119464e+00 | 1.065683e+01 | 851.96%
      1 |     0 |  3928 |     - |5307k| 1.125074e+00 | 1.065683e+01 | 847.21%
      1 |     0 |  3957 |     - |5307k| 1.126022e+00 | 1.065683e+01 | 846.41%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |  3973 |     - |5307k| 1.126192e+00 | 1.065683e+01 | 846.27%
      1 |     0 |  3978 |     - |5381k| 1.126203e+00 | 1.065683e+01 | 846.26%
      1 |     0 |  4110 |     - |5401k| 1.145902e+00 | 1.065683e+01 | 830.00%
      1 |     0 |  4134 |     - |5401k| 1.146438e+00 | 1.065683e+01 | 829.56%
      1 |     0 |  4142 |     - |5447k| 1.146479e+00 | 1.065683e+01 | 829.53%
      1 |     0 |  4151 |     - |5456k| 1.146563e+00 | 1.065683e+01 | 829.46%
      1 |     0 |  4155 |     - |5456k| 1.146577e+00 | 1.065683e+01 | 829.45%
