
ECOS 2.0.5 - (C) embotech GmbH, Zurich Switzerland, 2012-15. Web: www.embotech.com/ECOS

It     pcost       dcost      gap   pres   dres    k/t    mu     step   sigma     IR    |   BT
 0  +0.000e+00  -3.085e+02  +1e+03  6e-01  5e-01  1e+00  1e+00    ---    ---    0  0  - |  -  - 
 1  -1.988e+00  -7.003e+01  +3e+02  2e-01  1e-01  4e-01  2e-01  0.9791  2e-01   1  1  1 |  0  0
 2  -1.304e+00  -3.877e+01  +2e+02  1e-01  6e-02  2e-01  1e-01  0.5136  8e-02   1  1  1 |  1  2
 3  -5.281e-01  -1.077e+01  +4e+01  3e-02  2e-02  4e-02  3e-02  0.7950  8e-02   1  1  1 |  0  0
 4  -2.853e-01  -4.325e+00  +2e+01  1e-02  6e-03  2e-02  1e-02  0.6168  4e-02   2  2  2 |  0  2
 5  -1.807e-01  -1.316e+00  +5e+00  3e-03  2e-03  4e-03  4e-03  0.7559  9e-02   2  2  2 |  0  1
 6  -1.929e-01  -9.081e-01  +4e+00  2e-03  1e-03  3e-03  3e-03  0.4228  2e-01   2  2  2 |  0  0
 7  -2.017e-01  -6.720e-01  +2e+00  1e-03  7e-04  2e-03  2e-03  0.7554  6e-01   3  2  2 |  0  1
 8  -2.058e-01  -5.438e-01  +2e+00  1e-03  5e-04  1e-03  1e-03  0.7833  6e-01   3  2  3 |  4  1
 9  -2.091e-01  -3.884e-01  +8e-01  5e-04  3e-04  6e-04  6e-04  0.5363  7e-02   2  2  3 |  0  1
10  -1.955e-01  -3.564e-01  +7e-01  5e-04  2e-04  4e-04  5e-04  0.9276  8e-01   2  2  3 |  7  0
11  -1.948e-01  -3.015e-01  +4e-01  3e-04  1e-04  3e-04  3e-04  0.4343  1e-01   2  3  3 |  0  0
12  -1.948e-01  -2.912e-01  +4e-01  3e-04  1e-04  3e-04  3e-04  0.3327  6e-01   2  2  2 |  0  0
13  -1.906e-01  -2.421e-01  +2e-01  2e-04  7e-05  2e-04  1e-04  0.5536  5e-02   2  2  2 |  0  2
14  -1.862e-01  -2.262e-01  +1e-01  1e-04  5e-05  1e-04  9e-05  0.4921  4e-01   3  3  3 |  4  2
15  -1.835e-01  -2.225e-01  +1e-01  1e-04  5e-05  1e-04  8e-05  0.9791  9e-01   3  3  2 | 15  0
16  -1.797e-01  -2.078e-01  +7e-02  1e-04  4e-05  1e-04  5e-05  0.5013  3e-01   3  2  2 |  4  3
17  -1.771e-01  -2.008e-01  +5e-02  9e-05  3e-05  9e-05  4e-05  0.9791  8e-01   3  2  3 | 10  0
18  -1.744e-01  -1.939e-01  +4e-02  8e-05  3e-05  8e-05  3e-05  0.5013  5e-01   2  2  3 |  6  3
19  -1.726e-01  -1.899e-01  +3e-02  7e-05  2e-05  7e-05  2e-05  0.9791  8e-01   3  3  2 | 11  0
20  -1.694e-01  -1.830e-01  +2e-02  6e-05  2e-05  6e-05  2e-05  0.5013  4e-01   3  3  2 |  5  3
21  -1.689e-01  -1.819e-01  +2e-02  6e-05  2e-05  6e-05  2e-05  0.9791  9e-01   2  2  3 | 15  0
22  -1.653e-01  -1.751e-01  +1e-02  4e-05  1e-05  5e-05  1e-05  0.5013  4e-01   2  2  3 |  4  3
23  -1.643e-01  -1.734e-01  +1e-02  4e-05  1e-05  5e-05  9e-06  0.9791  9e-01   2  3  2 | 13  0
