WARNING: Method definition require(Symbol) in module Base at loading.jl:345 overwritten in module ConicBenchmarkUtilities at /home/ubuntu/.julia/v0.5/Requires/src/require.jl:12.
WARNING: Base.ASCIIString is deprecated, use String instead.
  likely near /home/ubuntu/run.jl:185
WARNING: Base.ASCIIString is deprecated, use String instead.
  likely near /home/ubuntu/run.jl:185
WARNING: Base.ASCIIString is deprecated, use String instead.
  likely near /home/ubuntu/run.jl:185
WARNING: Base.ASCIIString is deprecated, use String instead.
  likely near /home/ubuntu/run.jl:185
#SOLVERNAME# MOSEK_MISOCP
#SOLVER# Mosek.MosekMathProgSolverInterface.MosekSolver(Any[(:LOG,1),(:NUM_THREADS,1),(:OPTIMIZER_MAX_TIME,3600.0),(:MIO_TOL_REL_GAP,1.0e-5)])
#FILENAME# b1bigflowc.cbf.gz
#INSTANCE# b1bigflowc
#TIMELIMIT# 3600.0
Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : CONIC (conic optimization problem)
  Constraints            : 2535            
  Cones                  : 376             
  Scalar variables       : 2677            
  Matrix variables       : 0               
  Integer variables      : 564             

Optimizer started.
Mixed integer optimizer started.
Threads used: 1
Presolve started.
Presolve terminated. Time = 0.03
Presolved problem: 1548 variables, 842 constraints, 4216 non-zeros
Presolved problem: 0 general integer, 564 binary, 984 continuous
Clique table size: 188
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        0        0        NA                   5.6048763668e+00     NA          0.1   
0        1        0        0        2.0942292468e+01     5.6048763668e+00     73.24       0.5   
Cut generation started.
0        2        0        0        2.0942292468e+01     5.6048763668e+00     73.24       0.6   
Cut generation terminated. Time = 0.05
15       18       16       9        2.0942292468e+01     5.6062041816e+00     73.23       1.0   
31       34       32       25       2.0942292468e+01     5.6062041816e+00     73.23       1.4   
59       62       54       12       7.1462337820e+00     5.6152122666e+00     21.42       2.0   
87       90       80       33       7.1462337820e+00     5.6200001199e+00     21.36       2.7   
115      117      102      21       7.1462337820e+00     5.6236421350e+00     21.31       3.4   
143      145      130      32       7.1462337820e+00     5.6236421350e+00     21.31       4.1   
174      172      149      4        7.0039081851e+00     5.6258275998e+00     19.68       4.7   
200      198      175      42       7.0039081851e+00     5.6296955503e+00     19.62       5.4   
227      225      196      35       7.0039081851e+00     5.6300950640e+00     19.61       6.1   
254      252      223      25       7.0039081851e+00     5.6300954848e+00     19.61       6.9   
281      279      232      47       7.0039081851e+00     5.6316806113e+00     19.59       7.6   
308      306      257      61       7.0039081851e+00     5.6318913731e+00     19.59       8.3   
335      333      278      63       7.0039081851e+00     5.6321097534e+00     19.59       9.0   
362      360      305      24       7.0039081851e+00     5.6321097534e+00     19.59       9.7   
389      387      322      52       7.0039081851e+00     5.6326160654e+00     19.58       10.4  
415      413      348      91       7.0039081851e+00     5.6329876691e+00     19.57       11.1  
442      440      367      86       7.0039081851e+00     5.6330321531e+00     19.57       11.7  
469      467      392      28       7.0039081851e+00     5.6330322736e+00     19.57       12.4  
497      495      412      92       7.0039081851e+00     5.6332024274e+00     19.57       12.9  
524      522      435      17       7.0039081851e+00     5.6334225376e+00     19.57       13.6  
551      549      462      8        7.0039081851e+00     5.6353663538e+00     19.54       14.4  
577      575      482      6        7.0039081851e+00     5.6357649670e+00     19.53       15.0  
604      602      509      41       7.0039081851e+00     5.6367339649e+00     19.52       15.8  
632      630      531      38       7.0039081851e+00     5.6384132124e+00     19.50       16.5  
660      658      557      25       7.0039081851e+00     5.6387102830e+00     19.49       17.2  
687      685      582      10       7.0039081851e+00     5.6389426661e+00     19.49       17.9  
715      713      600      33       7.0039081851e+00     5.6389426661e+00     19.49       18.5  
744      742      611      45       7.0039081851e+00     5.6396581326e+00     19.48       19.0  
772      770      637      56       7.0039081851e+00     5.6403350491e+00     19.47       19.7  
802      800      655      27       7.0039081851e+00     5.6414884660e+00     19.45       20.3  
831      829      672      63       7.0039081851e+00     5.6418684067e+00     19.45       20.8  
861      859      686      43       7.0039081851e+00     5.6418684067e+00     19.45       21.2  
890      888      705      53       7.0039081851e+00     5.6421499393e+00     19.44       21.8  
924      922      705      70       7.0039081851e+00     5.6421499393e+00     19.44       21.9  
