WARNING: Method definition require(Symbol) in module Base at loading.jl:345 overwritten in module ConicBenchmarkUtilities at /home/ubuntu/.julia/v0.5/Requires/src/require.jl:12.
WARNING: Base.ASCIIString is deprecated, use String instead.
  likely near /home/ubuntu/run.jl:185
WARNING: Base.ASCIIString is deprecated, use String instead.
  likely near /home/ubuntu/run.jl:185
WARNING: Base.ASCIIString is deprecated, use String instead.
  likely near /home/ubuntu/run.jl:185
WARNING: Base.ASCIIString is deprecated, use String instead.
  likely near /home/ubuntu/run.jl:185
#SOLVERNAME# MOSEK_MISOCP
#SOLVER# Mosek.MosekMathProgSolverInterface.MosekSolver(Any[(:LOG,1),(:NUM_THREADS,1),(:OPTIMIZER_MAX_TIME,3600.0),(:MIO_TOL_REL_GAP,1.0e-5)])
#FILENAME# classical_200_1.cbf.gz
#INSTANCE# classical_200_1
#TIMELIMIT# 3600.0
Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : CONIC (conic optimization problem)
  Constraints            : 1005            
  Cones                  : 1               
  Scalar variables       : 803             
  Matrix variables       : 0               
  Integer variables      : 200             

Optimizer started.
Mixed integer optimizer started.
Threads used: 1
Presolve started.
Presolve terminated. Time = 0.40
Presolved problem: 601 variables, 402 constraints, 41000 non-zeros
Presolved problem: 0 general integer, 200 binary, 401 continuous
Clique table size: 0
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        0        0        NA                   -1.2834709606e-01    NA          0.5   
0        1        0        0        -1.1277108072e-01    -1.2834709606e-01    13.81       1.3   
Cut generation started.
0        2        0        0        -1.1277108072e-01    -1.2834709606e-01    13.81       1.6   
Cut generation terminated. Time = 0.17
15       18       16       8        -1.1277108072e-01    -1.2834619634e-01    13.81       2.9   
31       34       16       17       -1.1504222687e-01    -1.2834619634e-01    11.56       3.6   
47       50       16       25       -1.1504222687e-01    -1.2834619634e-01    11.56       4.2   
63       66       16       33       -1.1504222687e-01    -1.2834619634e-01    11.56       4.9   
79       82       16       41       -1.1504222687e-01    -1.2834619634e-01    11.56       5.5   
95       98       16       49       -1.1504222687e-01    -1.2834619634e-01    11.56       6.0   
111      114      16       57       -1.1504222687e-01    -1.2834619634e-01    11.56       6.5   
127      130      16       65       -1.1504222687e-01    -1.2834619634e-01    11.56       7.0   
143      146      16       9        -1.1504222687e-01    -1.2834619634e-01    11.56       7.6   
159      162      32       10       -1.1504222687e-01    -1.2807843624e-01    11.33       8.8   
191      194      40       11       -1.1611148246e-01    -1.2793948551e-01    10.19       10.4  
224      227      45       22       -1.1611148246e-01    -1.2780162085e-01    10.07       12.0  
257      260      50       37       -1.1611148246e-01    -1.2774081990e-01    10.02       13.5  
290      293      59       14       -1.1611148246e-01    -1.2732846516e-01    9.66        15.1  
323      326      64       17       -1.1611148246e-01    -1.2709705256e-01    9.46        16.7  
356      359      71       23       -1.1611148246e-01    -1.2709591186e-01    9.46        18.4  
389      392      76       29       -1.1611148246e-01    -1.2698085639e-01    9.36        20.0  
422      425      79       17       -1.1611148246e-01    -1.2692617211e-01    9.31        21.4  
455      458      86       17       -1.1611148246e-01    -1.2683064656e-01    9.23        23.0  
488      491      91       18       -1.1611148246e-01    -1.2683017582e-01    9.23        24.6  
520      523      95       21       -1.1611148246e-01    -1.2683008085e-01    9.23        26.1  
552      555      107      19       -1.1611148246e-01    -1.2682934366e-01    9.23        27.8  
584      587      107      35       -1.1611148246e-01    -1.2682934366e-01    9.23        29.1  
616      619      107      51       -1.1611148246e-01    -1.2682934366e-01    9.23        30.2  
648      651      107      67       -1.1611148246e-01    -1.2682934366e-01    9.23        31.2  
680      683      107      83       -1.1611148246e-01    -1.2682934366e-01    9.23        32.1  
712      715      107      99       -1.1611148246e-01    -1.2682934366e-01    9.23        32.9  
744      747      107      115      -1.1611148246e-01    -1.2682934366e-01    9.23        33.6  
776      779      107      131      -1.1611148246e-01    -1.2682934366e-01    9.23        34.2  
809      812      108      147      -1.1611148246e-01    -1.2682934366e-01    9.23        34.7  
840      843      105      9        -1.1611148246e-01    -1.2682934366e-01    9.23        35.2  
873      876      110      16       -1.1611148246e-01    -1.2682822375e-01    9.23        36.8  
906      909      117      18       -1.1611148246e-01    -1.2671222278e-01    9.13        38.5  
939      942      126      21       -1.1611148246e-01    -1.2671222278e-01    9.13        40.3  
972      975      135      22       -1.1611148246e-01    -1.2664745593e-01    9.07        42.0  
1005     1008     142      15       -1.1611148246e-01    -1.2664691457e-01    9.07        43.7  
1038     1041     147      28       -1.1611148246e-01    -1.2660494187e-01    9.04        45.3  
1071     1074     152      24       -1.1611148246e-01    -1.2660460770e-01    9.04        46.9  
1104     1107     153      40       -1.1611148246e-01    -1.2660460770e-01    9.04        48.3  
1137     1140     152      57       -1.1611148246e-01    -1.2660460770e-01    9.04        49.3  
1169     1172     152      73       -1.1611148246e-01    -1.2660460770e-01    9.04        50.3  
1202     1205     157      16       -1.1611148246e-01    -1.2657763631e-01    9.01        51.8  
1235     1238     160      14       -1.1611148246e-01    -1.2656797393e-01    9.01        53.3  
1268     1271     165      27       -1.1611148246e-01    -1.2654932483e-01    8.99        54.9  
1301     1304     170      14       -1.1611148246e-01    -1.2653237272e-01    8.97        56.5  
1332     1335     179      11       -1.1611148246e-01    -1.2650801576e-01    8.95        58.3  
1365     1368     184      28       -1.1611148246e-01    -1.2650801576e-01    8.95        59.8  
1398     1401     187      26       -1.1611148246e-01    -1.2650801576e-01    8.95        61.3  
1431     1434     186      43       -1.1611148246e-01    -1.2650801576e-01    8.95        62.6  
1464     1467     187      59       -1.1611148246e-01    -1.2650801576e-01    8.95        63.7  
