"Blank","Error","Excluded","FailedMIP","FailedOA","Infeasible","KilledMemory","KilledTime","Optimal","Suboptimal","UserLimit","Total","solver"
30,0,0,0,0,0,0,0,46,0,44,120,"BONMIN"
1,9,2,0,0,25,0,18,37,0,28,120,"BONMIN_BB"
14,15,1,0,0,7,0,17,30,0,36,120,"BONMIN_OA"
14,15,1,0,0,7,0,17,35,0,31,120,"BONMIN_OADIS"
5,0,3,0,0,0,0,0,96,0,16,120,"CPLEX_MISOCP"
0,0,7,0,0,1,0,0,81,0,31,120,"PAJ_CBC_ECOS"
0,0,1,0,0,0,0,0,96,0,23,120,"PAJ_CPLEX_MOSEK"
0,0,1,0,0,0,0,0,95,3,21,120,"PAJ_CPLEX_MOSEK_dualonly"
0,0,0,0,0,0,1,0,92,0,27,120,"PAJ_CPLEX_MOSEK_dualonlynopresolve"
0,0,2,0,1,0,0,0,87,8,22,120,"PAJ_CPLEX_MOSEK_dualonlynoscale"
0,0,0,0,1,0,0,0,92,0,27,120,"PAJ_CPLEX_MOSEK_dualonlynoscalenopresolve"
0,0,0,0,0,0,0,0,101,0,19,120,"PAJ_CPLEX_MOSEK_msd"
0,0,0,0,0,0,0,0,102,0,18,120,"PAJ_CPLEX_MOSEK_msd_bestof2"
0,0,0,0,0,0,0,0,100,1,19,120,"PAJ_CPLEX_MOSEK_msddualonly"
0,0,0,0,0,0,0,0,102,0,18,120,"PAJ_CPLEX_MOSEK_msddualonlynoscale"
0,0,0,0,0,0,0,0,102,0,18,120,"PAJ_CPLEX_MOSEK_msdnostarts"
0,0,1,0,0,0,0,0,95,0,24,120,"PAJ_CPLEX_MOSEK_msdprimonlynorelax"
0,0,1,0,0,0,0,0,94,0,25,120,"PAJ_CPLEX_MOSEK_noconic"
0,0,1,0,0,0,0,0,96,0,23,120,"PAJ_CPLEX_MOSEK_primonlynorelax"
1,0,0,1,0,0,0,2,68,0,48,120,"PAJ_GLPK_ECOS"
7,0,2,0,0,3,0,6,71,0,31,120,"PAJ_SCIP_ECOS"
0,0,0,0,0,1,1,6,78,0,34,120,"SCIP_MISOCP"
