solver,instance,status,objval_reported,objbound,solvertime,totaltime,filename,objval_solution,max_linear_violation,max_soc_violation,max_socrot_violation,validator_status,validator_objval,solvers_gap,validation_gap,gap_ratio,optimal_and_badgap,bad_viol,now_optimal
PAJ_PRAS_MSD_CPLEX_tols_0GAP_MOSEK,pp-n1000-d10000.cbf,Suboptimal,216115.8558,216112.3988,3600.038233,3600.041594,PAJ_PRAS_MSD_CPLEX_tols_0GAP_MOSEK.pp-n1000-d10000.txt,216115.8558,0,0,0,Optimal,216113.4861,1.60E-05,5.03E-06,3.15E-01,,,good
PAJ_PRAS_MSD_CPLEX_tols_0GAP_MOSEK,pp-n100-d10000.cbf,Suboptimal,19855.75501,19855.47218,3600.013142,3600.01375,PAJ_PRAS_MSD_CPLEX_tols_0GAP_MOSEK.pp-n100-d10000.txt,19855.75501,0,0,0,Optimal,19855.50887,1.42E-05,1.85E-06,1.30E-01,,,good
PAJ_PRAS_MSD_CPLEX_tols_0GAP_MOSEK,pp-n10-d10000.cbf,Suboptimal,1481.48827,1481.463488,0.08897686,0.089173794,PAJ_PRAS_MSD_CPLEX_tols_0GAP_MOSEK.pp-n10-d10000.txt,1481.48827,0,0,0,Optimal,1481.463509,1.67E-05,1.39E-08,8.30E-04,,,good
PAJ_PRAS_MSD_CPLEX_tols_0GAP_MOSEK,classical_200_1.cbf,Suboptimal,-0.116678852,-0.123564208,3600.015899,3600.016146,PAJ_PRAS_MSD_CPLEX_tols_0GAP_MOSEK.classical_200_1.txt,-0.116678852,1.70E-08,4.31E-09,0,Optimal,-0.116678852,5.90E-02,5.90E-02,1.00E+00,,,
PAJ_PRAS_MSD_CPLEX_tols_0GAP_MOSEK,tls5.cbf,Suboptimal,10.4,7.747281831,3600.012235,3600.014023,PAJ_PRAS_MSD_CPLEX_tols_0GAP_MOSEK.tls5.txt,10.4,0,2.68E-09,0,Optimal,10.4,2.55E-01,2.55E-01,1.00E+00,,,
PAJ_PRAS_MSD_CPLEX_tols_0GAP_MOSEK,classical_200_0.cbf,Suboptimal,-0.110837005,-0.122593223,3600.0175,3600.017739,PAJ_PRAS_MSD_CPLEX_tols_0GAP_MOSEK.classical_200_0.txt,-0.110837005,7.50E-09,1.41E-09,0,Optimal,-0.110837005,1.06E-01,1.06E-01,1.00E+00,,,
PAJ_PRAS_MSD_CPLEX_tols_0GAP_MOSEK,classical_200_2.cbf,Suboptimal,-0.109934296,-0.120669567,3600.015831,3600.016068,PAJ_PRAS_MSD_CPLEX_tols_0GAP_MOSEK.classical_200_2.txt,-0.109934296,9.85E-09,1.37E-09,0,Optimal,-0.109934296,9.76E-02,9.76E-02,1.00E+00,,,
PAJ_PRAS_MSD_CPLEX_tols_0GAP_MOSEK,200_0_5_w.cbf,Suboptimal,3.42E+07,3.42E+07,3600.10837,3600.12924,PAJ_PRAS_MSD_CPLEX_tols_0GAP_MOSEK.200_0_5_w.txt,3.42E+07,0.000141279,0,7.31E-07,Optimal,3.42E+07,6.18E-04,6.18E-04,1.00E+00,,,
PAJ_PRAS_MSD_CPLEX_tols_0GAP_MOSEK,150_0_5_w.cbf,Suboptimal,2.41E+07,2.41E+07,3600.114217,3600.130733,PAJ_PRAS_MSD_CPLEX_tols_0GAP_MOSEK.150_0_5_w.txt,2.41E+07,6.48E-05,0,2.28E-07,Optimal,2.41E+07,5.26E-04,5.26E-04,1.00E+00,,,
PAJ_PRAS_MSD_CPLEX_tols_0GAP_MOSEK,75_0_5_w.cbf,Suboptimal,1.23E+07,1.22E+07,3600.055826,3600.062872,PAJ_PRAS_MSD_CPLEX_tols_0GAP_MOSEK.75_0_5_w.txt,1.23E+07,1.35E-05,0,9.28E-08,Optimal,1.23E+07,6.35E-04,6.35E-04,1.00E+00,,,
