solver,instance,status,objval,objbound,solvertime,totaltime,filename
 , , , , , , ,META.PAJ_MSD_SCIP_MOSEK.txt
 , , , , , , ,META.PAJ_SCIP_MOSEK.txt
 , , , , , , ,META.SCIP_MISOCP.txt
 , , , , , , ,META.SCIP_MISOCPDIS.txt
PAJ_MSD_SCIP_MOSEK,100_0_5_w,UserLimit,1.73E+07,1.72E+07,3743.237607,3743.250425,PAJ_MSD_SCIP_MOSEK.100_0_5_w.cbf.gz.txt
PAJ_MSD_SCIP_MOSEK,10_0_5_w,Optimal,1.96E+06,1.96E+06,16.74446607,16.74994183,PAJ_MSD_SCIP_MOSEK.10_0_5_w.cbf.gz.txt
PAJ_MSD_SCIP_MOSEK,150_0_5_w, , , , , ,PAJ_MSD_SCIP_MOSEK.150_0_5_w.cbf.gz.txt
PAJ_MSD_SCIP_MOSEK,200_0_5_w, , , , , ,PAJ_MSD_SCIP_MOSEK.200_0_5_w.cbf.gz.txt
PAJ_MSD_SCIP_MOSEK,20_0_5_w,Optimal,3.78E+06,3.78E+06,133.5825219,133.588408,PAJ_MSD_SCIP_MOSEK.20_0_5_w.cbf.gz.txt
PAJ_MSD_SCIP_MOSEK,50_0_5_w,UserLimit,9.97E+06,9.96E+06,3654.08684,3654.100464,PAJ_MSD_SCIP_MOSEK.50_0_5_w.cbf.gz.txt
PAJ_MSD_SCIP_MOSEK,75_0_5_w,UserLimit,1.23E+07,1.22E+07,3688.271599,3688.282213,PAJ_MSD_SCIP_MOSEK.75_0_5_w.cbf.gz.txt
PAJ_MSD_SCIP_MOSEK,achtziger_stolpe06-61flowc,Optimal,1.856340619,1.856340194,0.49737215,0.501622915,PAJ_MSD_SCIP_MOSEK.achtziger_stolpe06-61flowc.cbf.gz.txt
PAJ_MSD_SCIP_MOSEK,achtziger_stolpe06-62flowc,UserLimit,Inf,44.18821815,3634.516992,3634.531719,PAJ_MSD_SCIP_MOSEK.achtziger_stolpe06-62flowc.cbf.gz.txt
PAJ_MSD_SCIP_MOSEK,achtziger_stolpe06-65bflowc,ConicFailure,Inf,-1.00E+20,51.15511298,51.17253494,PAJ_MSD_SCIP_MOSEK.achtziger_stolpe06-65bflowc.cbf.gz.txt
PAJ_MSD_SCIP_MOSEK,achtziger_stolpe06-65flowc, , , , , ,PAJ_MSD_SCIP_MOSEK.achtziger_stolpe06-65flowc.cbf.gz.txt
PAJ_MSD_SCIP_MOSEK,achtziger_stolpe07-51flowc,UserLimit,Inf,40.16105627,3627.945367,3627.959231,PAJ_MSD_SCIP_MOSEK.achtziger_stolpe07-51flowc.cbf.gz.txt
PAJ_MSD_SCIP_MOSEK,achtziger_stolpe07-52bflowc, , , , , ,PAJ_MSD_SCIP_MOSEK.achtziger_stolpe07-52bflowc.cbf.gz.txt
PAJ_MSD_SCIP_MOSEK,achtziger_stolpe07-52flowc,Optimal,49.14061305,49.14061144,70.01944995,70.02406502,PAJ_MSD_SCIP_MOSEK.achtziger_stolpe07-52flowc.cbf.gz.txt
