solver,instance,status,objval,objbound,solvertime,totaltime,filename
PAJ_CBC_MOSEK,uflquad-psc-30-300, , , , , ,PAJ_CBC_MOSEK.uflquad-psc-30-300.cbf.gz.txt
PAJ_NORELAX_CBC_MOSEK,uflquad-psc-30-300, , , , , ,PAJ_NORELAX_CBC_MOSEK.uflquad-psc-30-300.cbf.gz.txt
PAJ_SUBOPT-8-1_CBC_MOSEK,achtziger_stolpe06-62flowc, , , , , ,PAJ_SUBOPT-8-1_CBC_MOSEK.achtziger_stolpe06-62flowc.cbf.gz.txt
PAJ_SUBOPT-8-1_CBC_MOSEK,achtziger_stolpe07-52bflowc, , , , , ,PAJ_SUBOPT-8-1_CBC_MOSEK.achtziger_stolpe07-52bflowc.cbf.gz.txt
PAJ_SUBOPT-8-1_CBC_MOSEK,uflquad-psc-30-300, , , , , ,PAJ_SUBOPT-8-1_CBC_MOSEK.uflquad-psc-30-300.cbf.gz.txt
PAJ_SUBOPT-8-10_CBC_MOSEK,achtziger_stolpe06-62flowc, , , , , ,PAJ_SUBOPT-8-10_CBC_MOSEK.achtziger_stolpe06-62flowc.cbf.gz.txt
PAJ_SUBOPT-8-10_CBC_MOSEK,achtziger_stolpe07-52bflowc, , , , , ,PAJ_SUBOPT-8-10_CBC_MOSEK.achtziger_stolpe07-52bflowc.cbf.gz.txt
PAJ_SUBOPT-8-10_CBC_MOSEK,pp-n1000-d10000, , , , , ,PAJ_SUBOPT-8-10_CBC_MOSEK.pp-n1000-d10000.cbf.gz.txt
PAJ_SUBOPT-8-10_CBC_MOSEK,uflquad-psc-30-300, , , , , ,PAJ_SUBOPT-8-10_CBC_MOSEK.uflquad-psc-30-300.cbf.gz.txt
PAJ_NODIS_CBC_MOSEK,pp-n1000-d10,ConicFailure,Inf,7330.100912,3.755295992,3.762971163,PAJ_NODIS_CBC_MOSEK.pp-n1000-d10.cbf.gz.txt
PAJ_CBC_MOSEK,10_0_5_w,Optimal,1.96E+06,1.96E+06,51.30438781,51.30566192,PAJ_CBC_MOSEK.10_0_5_w.cbf.gz.txt
PAJ_CBC_MOSEK,20_0_5_w,Optimal,3.78E+06,3.78E+06,683.489572,683.491575,PAJ_CBC_MOSEK.20_0_5_w.cbf.gz.txt
PAJ_CBC_MOSEK,achtziger_stolpe06-61flowc,Optimal,2.795085085,2.795084972,1.694364071,1.69464016,PAJ_CBC_MOSEK.achtziger_stolpe06-61flowc.cbf.gz.txt
PAJ_CBC_MOSEK,achtziger_stolpe07-52flowc,Optimal,49.48528211,49.48528114,98.11022496,98.11064887,PAJ_CBC_MOSEK.achtziger_stolpe07-52flowc.cbf.gz.txt
PAJ_CBC_MOSEK,achtziger_stolpe07-53flowc,Optimal,7.716052241,7.71605213,8.523348808,8.523823977,PAJ_CBC_MOSEK.achtziger_stolpe07-53flowc.cbf.gz.txt
PAJ_CBC_MOSEK,b1bigflowc,Optimal,5.777366126,6.33390119,2175.049879,2175.051379,PAJ_CBC_MOSEK.b1bigflowc.cbf.gz.txt
PAJ_CBC_MOSEK,ck_n25_m10_o1_5,Optimal,8143,8143,0.693035841,0.693350792,PAJ_CBC_MOSEK.ck_n25_m10_o1_5.cbf.gz.txt
PAJ_CBC_MOSEK,ck_n25_m10_o3_5,Optimal,8654,8654,0.431822062,0.432121038,PAJ_CBC_MOSEK.ck_n25_m10_o3_5.cbf.gz.txt
PAJ_CBC_MOSEK,ck_n25_m10_o5_5,Optimal,8915,8915,0.130081892,0.130364895,PAJ_CBC_MOSEK.ck_n25_m10_o5_5.cbf.gz.txt
PAJ_CBC_MOSEK,ck_n25_m20_o1_5,Optimal,7279,7279,0.362187862,0.362682819,PAJ_CBC_MOSEK.ck_n25_m20_o1_5.cbf.gz.txt
PAJ_CBC_MOSEK,ck_n25_m20_o3_5,Optimal,7349,7349,0.243880033,0.244282961,PAJ_CBC_MOSEK.ck_n25_m20_o3_5.cbf.gz.txt
PAJ_CBC_MOSEK,ck_n25_m20_o5_5,Optimal,7349,7349,1.097659111,1.09805584,PAJ_CBC_MOSEK.ck_n25_m20_o5_5.cbf.gz.txt
PAJ_CBC_MOSEK,ck_n50_m10_o1_5,Optimal,19331,19331,0.675015926,0.675297976,PAJ_CBC_MOSEK.ck_n50_m10_o1_5.cbf.gz.txt
PAJ_CBC_MOSEK,ck_n50_m10_o3_5,Optimal,18596,18596,5.127197027,5.127486229,PAJ_CBC_MOSEK.ck_n50_m10_o3_5.cbf.gz.txt
PAJ_CBC_MOSEK,ck_n50_m10_o5_5,Optimal,18365,18365,4.585519075,4.585842133,PAJ_CBC_MOSEK.ck_n50_m10_o5_5.cbf.gz.txt
PAJ_CBC_MOSEK,ck_n50_m20_o1_5,Optimal,14635,14635,2.099363089,2.099783897,PAJ_CBC_MOSEK.ck_n50_m20_o1_5.cbf.gz.txt
PAJ_CBC_MOSEK,ck_n50_m20_o3_5,Optimal,13652,13652,3.570373058,3.570777893,PAJ_CBC_MOSEK.ck_n50_m20_o3_5.cbf.gz.txt
PAJ_CBC_MOSEK,ck_n50_m20_o5_5,Optimal,13070,13070,3.633491993,3.633917809,PAJ_CBC_MOSEK.ck_n50_m20_o5_5.cbf.gz.txt
PAJ_CBC_MOSEK,ck_n75_m10_o1_5,Optimal,30802,30802,47.3394959,47.33982992,PAJ_CBC_MOSEK.ck_n75_m10_o1_5.cbf.gz.txt
PAJ_CBC_MOSEK,ck_n75_m10_o3_5,Optimal,29489,29489,122.149709,122.150044,PAJ_CBC_MOSEK.ck_n75_m10_o3_5.cbf.gz.txt
PAJ_CBC_MOSEK,ck_n75_m10_o5_5,Optimal,29070,29070,76.49533105,76.49568391,PAJ_CBC_MOSEK.ck_n75_m10_o5_5.cbf.gz.txt
PAJ_CBC_MOSEK,ck_n75_m20_o1_5,Optimal,27332,27332,67.40925002,67.40977192,PAJ_CBC_MOSEK.ck_n75_m20_o1_5.cbf.gz.txt
PAJ_CBC_MOSEK,ck_n75_m20_o3_5,Optimal,25584,25584,620.263608,620.26408,PAJ_CBC_MOSEK.ck_n75_m20_o3_5.cbf.gz.txt
PAJ_CBC_MOSEK,ck_n75_m20_o5_5,Optimal,24838,24838,567.294441,567.2949069,PAJ_CBC_MOSEK.ck_n75_m20_o5_5.cbf.gz.txt
PAJ_CBC_MOSEK,estein4_A,Optimal,0.801365501,0.801365495,0.980376005,0.980582952,PAJ_CBC_MOSEK.estein4_A.cbf.gz.txt
PAJ_CBC_MOSEK,estein4_B,Optimal,1.188086061,1.18808603,0.932660103,0.932868004,PAJ_CBC_MOSEK.estein4_B.cbf.gz.txt
PAJ_CBC_MOSEK,estein4_C,Optimal,1.072693702,1.072693687,0.957075119,0.957289934,PAJ_CBC_MOSEK.estein4_C.cbf.gz.txt
PAJ_CBC_MOSEK,estein4_nr22,Optimal,0.50328619,0.503286175,0.892806053,0.893013,PAJ_CBC_MOSEK.estein4_nr22.cbf.gz.txt
PAJ_CBC_MOSEK,estein5_A,Optimal,1.045372497,1.045372487,15.60388994,15.60414815,PAJ_CBC_MOSEK.estein5_A.cbf.gz.txt
PAJ_CBC_MOSEK,estein5_B,Optimal,1.193159908,1.193159902,8.853947878,8.854217052,PAJ_CBC_MOSEK.estein5_B.cbf.gz.txt
PAJ_CBC_MOSEK,estein5_C,Optimal,1.499077952,1.499077934,17.31840801,17.31866598,PAJ_CBC_MOSEK.estein5_C.cbf.gz.txt
PAJ_CBC_MOSEK,estein5_nr1,Optimal,1.664399329,1.664399321,8.029824972,8.030086994,PAJ_CBC_MOSEK.estein5_nr1.cbf.gz.txt
PAJ_CBC_MOSEK,estein5_nr21,Optimal,1.818179309,1.818179306,158.994952,158.995214,PAJ_CBC_MOSEK.estein5_nr21.cbf.gz.txt
PAJ_CBC_MOSEK,pp-n10-d10,Optimal,72.48127971,72.48127644,0.469626904,0.469840765,PAJ_CBC_MOSEK.pp-n10-d10.cbf.gz.txt
PAJ_CBC_MOSEK,pp-n100-d10,Optimal,777.2876757,777.2799841,7.83992815,7.840517998,PAJ_CBC_MOSEK.pp-n100-d10.cbf.gz.txt
PAJ_CBC_MOSEK,robust_50_2,Optimal,-0.143654953,-0.143654977,6.236602068,6.236833096,PAJ_CBC_MOSEK.robust_50_2.cbf.gz.txt
