solver,instance,sense,timelimit,status,objval_reported,objbound,solvertime,totaltime,nodecount,filename,rel_objval_error,max_linear_violation,max_soc_violation,max_socrot_violation,max_exp_violation,max_psd_violation,max_int_violation,validator_status,validator_relobjdiff,conic_subproblem_count,conic_optimal_count,conic_infeasible_count,conic_subproblem_time,conic_relaxation_time,mip_subproblem_time,iteration_count
PAJ_CPLEX_ECOS_msd,multiportfolio_socexp_a.cbf,Min,3600.0,Optimal,-0.08443224977867841,-0.08443221114144978,0.013533830642700195,0.013885021209716797,0,PAJ_CPLEX_ECOS_msd.multiportfolio_socexp_a.txt, ,1.657878315967226e-10,0.0,-Inf,1.1566321234113275e-9,-Inf,0.0, , ,2,2,0,4.46e-03,5.08e-03, , 
PAJ_CPLEX_ECOS_msd,multiportfolio_socexp_b.cbf,Min,3600.0,Optimal,-0.09693651814960322,-0.09693675447045783,0.17158007621765137,0.17203998565673828,49,PAJ_CPLEX_ECOS_msd.multiportfolio_socexp_b.txt, ,7.021350883519573e-11,1.6492298499093394e-10,-Inf,4.727547242566743e-10,-Inf,0.0, , ,5,5,0,2.69e-02,1.28e-02, , 
PAJ_CPLEX_ECOS_msd,multiportfolio_socexp_c.cbf,Min,3600.0,Optimal,-0.12373635491385238,-0.1237309564893915,11.222584962844849,11.223203897476196,12546,PAJ_CPLEX_ECOS_msd.multiportfolio_socexp_c.txt, ,6.938893903907228e-18,1.5451297917246087e-6,-Inf,1.4409880215726645e-6,-Inf,0.0, , ,26,26,0,3.02e-01,2.44e-02, , 
PAJ_CPLEX_ECOS_msd,multiportfolio_socexp_d.cbf,Min,3600.0,Optimal,-0.13902599913593447,-0.13902711409227048,27.82846212387085,27.829216957092285,16697,PAJ_CPLEX_ECOS_msd.multiportfolio_socexp_d.txt, ,2.220446049250313e-16,4.240026288480914e-6,-Inf,3.320533963346861e-7,-Inf,0.0, , ,25,25,0,1.15e+00,1.05e-01, , 
PAJ_CPLEX_ECOS_msd,multiportfolio_socexp_e.cbf,Min,3600.0,Suboptimal,-0.14152830602924163,-0.14153145416368015,10.497005939483643,10.498292922973633,1300,PAJ_CPLEX_ECOS_msd.multiportfolio_socexp_e.txt, ,1.1970119123336231e-11,0.0,-Inf,1.6942114378082351e-10,-Inf,0.0, , ,23,23,0,3.52e+00,2.95e-01, , 
PAJ_CPLEX_ECOS_msd,multiportfolio_socexp_f.cbf,Min,3600.0,Suboptimal,-0.15498406796384068,-0.15498679033710452,16.752146005630493,16.754788875579834,48,PAJ_CPLEX_ECOS_msd.multiportfolio_socexp_f.txt, ,1.839991093516291e-11,0.0,-Inf,2.7638513699912437e-10,-Inf,0.0, , ,12,12,0,1.08e+01,1.82e+00, , 
PAJ_CPLEX_ECOS,multiportfolio_socexp_a.cbf,Min,3600.0,Optimal,-0.08443224977867841,-0.08443221114144976,0.0265350341796875,0.026866912841796875,NaN,PAJ_CPLEX_ECOS.multiportfolio_socexp_a.txt, ,1.657878315967226e-10,0.0,-Inf,1.1566321234113275e-9,-Inf,0.0, , ,3,3,0,6.85e-03,5.05e-03,1.30e-02,3
PAJ_CPLEX_ECOS,multiportfolio_socexp_b.cbf,Min,3600.0,Optimal,-0.09693651814960322,-0.09693650422988345,0.20648193359375,0.2069079875946045,NaN,PAJ_CPLEX_ECOS.multiportfolio_socexp_b.txt, ,7.021350883519573e-11,1.6492298499093394e-10,-Inf,4.727547242566743e-10,-Inf,0.0, , ,4,4,0,3.84e-02,1.28e-02,1.52e-01,4
PAJ_CPLEX_ECOS,multiportfolio_socexp_c.cbf,Min,3600.0,Optimal,-0.12372768094822763,-0.12372863743500154,43.565739154815674,43.581393003463745,NaN,PAJ_CPLEX_ECOS.multiportfolio_socexp_c.txt, ,2.6242955942015755e-11,4.081729676475021e-10,-Inf,2.9570812465351537e-10,-Inf,0.0, , ,7,7,0,8.77e-02,2.41e-02,4.34e+01,7
PAJ_CPLEX_ECOS,multiportfolio_socexp_d.cbf,Min,3600.0,Optimal,-0.13902141167866677,-0.13902235804820842,41.12593603134155,41.126654863357544,NaN,PAJ_CPLEX_ECOS.multiportfolio_socexp_d.txt, ,6.555204664672465e-11,0.0,-Inf,8.459328793009036e-10,-Inf,0.0, , ,6,6,0,3.18e-01,1.03e-01,4.07e+01,6
PAJ_CPLEX_ECOS,multiportfolio_socexp_e.cbf,Min,3600.0,Optimal,-0.14152834922874058,-0.1415293208550238,46.52615404129028,46.527464866638184,NaN,PAJ_CPLEX_ECOS.multiportfolio_socexp_e.txt, ,6.661338147750939e-16,9.979636138301995e-8,-Inf,1.5859187296740629e-9,-Inf,0.0, , ,7,7,0,1.11e+00,2.96e-01,4.51e+01,7
PAJ_CPLEX_ECOS,multiportfolio_socexp_f.cbf,Min,3600.0,Optimal,-0.15498666734685432,-0.15498674313206465,18.303941011428833,18.306588888168335,NaN,PAJ_CPLEX_ECOS.multiportfolio_socexp_f.txt, ,1.938179803283313e-11,0.0,-Inf,3.7961567223021575e-10,-Inf,0.0, , ,4,4,0,3.59e+00,1.83e+00,1.28e+01,4
PAJ_CPLEX_noconic_msd,multiportfolio_socexp_a.cbf,Min,3600.0,Optimal,-0.0844466842437766,-0.08444571891014488,0.00810098648071289,0.008414983749389648,0,PAJ_CPLEX_noconic_msd.multiportfolio_socexp_a.txt, ,1.0625181290357943e-17,5.262587143027575e-6,-Inf,6.925696554027638e-7,-Inf,0.0, , ,0, , ,0.00e+00,0.00e+00, , 
PAJ_CPLEX_noconic_msd,multiportfolio_socexp_b.cbf,Min,3600.0,Optimal,-0.09695835915774674,-0.0969582426306975,0.06027507781982422,0.06065011024475098,42,PAJ_CPLEX_noconic_msd.multiportfolio_socexp_b.txt, ,7.15573433840433e-18,2.982053759370551e-6,-Inf,7.067400149551872e-7,-Inf,0.0, , ,0, , ,0.00e+00,0.00e+00, , 
