solver,instance,sense,timelimit,status,objval_reported,objbound,solvertime,totaltime,nodecount,filename,rel_objval_error,max_linear_violation,max_soc_violation,max_socrot_violation,max_exp_violation,max_psd_violation,max_int_violation,validator_status,validator_relobjdiff,conic_subproblem_count,conic_optimal_count,conic_infeasible_count,conic_relaxation_status,conic_subproblem_time,conic_relaxation_time,mip_subproblem_time,iteration_count
PAJ_CPLEX_noconic_msd,multiportfolio_socexppsd_a.cbf,Min,7200.0,Optimal,-0.07160315631423882,-0.07160315631423883,0.008990049362182617,0.00931692123413086,0,PAJ_CPLEX_noconic_msd.multiportfolio_socexppsd_a.txt, ,2.220446049250313e-16,9.415461655615243e-7,-Inf,9.402212732823045e-7,7.166394228067008e-6,0.0, , ,0, , , ,0.00e+00,0.00e+00,8.55e-03, 
PAJ_CPLEX_noconic_msd,multiportfolio_socexppsd_b.cbf,Min,7200.0,Optimal,-0.09908900991581168,-0.0990889991138765,0.02013111114501953,0.02049994468688965,0,PAJ_CPLEX_noconic_msd.multiportfolio_socexppsd_b.txt, ,5.421010862427522e-18,8.53668643663319e-7,-Inf,5.626313885898071e-7,3.5755954455261925e-6,0.0, , ,0, , , ,0.00e+00,0.00e+00,1.94e-02, 
PAJ_CPLEX_noconic_msd,multiportfolio_socexppsd_c.cbf,Min,7200.0,Optimal,-0.09132137180303188,-0.09132137180303188,0.8062818050384521,0.8068130016326904,1123,PAJ_CPLEX_noconic_msd.multiportfolio_socexppsd_c.txt, ,3.469446951953614e-18,7.095967952189253e-7,-Inf,7.761328990607552e-7,8.615141535694947e-7,0.0, , ,0, , , ,0.00e+00,0.00e+00,8.05e-01, 
PAJ_CPLEX_noconic_msd,multiportfolio_socexppsd_d.cbf,Min,7200.0,Optimal,-0.11970057856487569,-0.11970124170235019,63.72372007369995,63.72454905509949,68893,PAJ_CPLEX_noconic_msd.multiportfolio_socexppsd_d.txt, ,2.220446049250313e-16,1.1708951870373352e-6,-Inf,9.176168840330234e-7,5.6060246116549875e-6,0.0, , ,0, , , ,0.00e+00,0.00e+00,6.37e+01, 
PAJ_CPLEX_noconic_msd,multiportfolio_socexppsd_e.cbf,Min,7200.0,Optimal,-0.12598529605617076,-0.1259863563736452,104.82746386528015,104.82873797416687,33355,PAJ_CPLEX_noconic_msd.multiportfolio_socexppsd_e.txt, ,2.220446049250313e-16,1.8982481885532199e-6,-Inf,9.24115745259968e-7,7.875702157599596e-7,0.0, , ,0, , , ,0.00e+00,0.00e+00,1.05e+02, 
PAJ_CPLEX_noconic_msd,multiportfolio_socexppsd_f.cbf,Min,7200.0,Optimal,-0.1302184769060732,-0.1302190182516101,2.460092067718506,2.461962938308716,1,PAJ_CPLEX_noconic_msd.multiportfolio_socexppsd_f.txt, ,9.519295074422729e-17,2.8571625681136914e-6,-Inf,9.472490851702986e-7,8.741651053798302e-6,0.0, , ,0, , , ,0.00e+00,0.00e+00,2.44e+00, 
PAJ_CPLEX_noconic,multiportfolio_socexppsd_a.cbf,Min,7200.0,Optimal,-0.07160307674945854,-0.07160307674945852,0.06581711769104004,0.06619501113891602,NaN,PAJ_CPLEX_noconic.multiportfolio_socexppsd_a.txt, ,6.938893903907228e-18,5.446170567996456e-7,-Inf,8.866998748580102e-7,7.6183874261925955e-6,1.2212453270876722e-15, , ,0, , , ,0.00e+00,0.00e+00,6.21e-02,18
PAJ_CPLEX_noconic,multiportfolio_socexppsd_b.cbf,Min,7200.0,Optimal,-0.09909455347713432,-0.0990945534771343,0.18270206451416016,0.18312907218933105,NaN,PAJ_CPLEX_noconic.multiportfolio_socexppsd_b.txt, ,3.686287386450715e-18,8.837152366270029e-7,-Inf,8.313902157830455e-7,3.4469695664319166e-6,0.0, , ,0, , , ,0.00e+00,0.00e+00,1.76e-01,27
PAJ_CPLEX_noconic,multiportfolio_socexppsd_c.cbf,Min,7200.0,Optimal,-0.0913241810855033,-0.09132498129736345,5.36760687828064,5.3681230545043945,NaN,PAJ_CPLEX_noconic.multiportfolio_socexppsd_c.txt, ,1.0625181290357943e-17,4.1215785055656595e-6,-Inf,8.818019376910513e-7,2.8981810446165535e-6,0.0, , ,0, , , ,0.00e+00,0.00e+00,5.36e+00,18
PAJ_CPLEX_noconic,multiportfolio_socexppsd_d.cbf,Min,7200.0,Optimal,-0.11970968839636967,-0.11971058986243722,511.6371510028839,511.63794207572937,NaN,PAJ_CPLEX_noconic.multiportfolio_socexppsd_d.txt, ,2.42861286636753e-17,6.289218528326979e-7,-Inf,8.959208739334201e-7,9.873187642467423e-6,0.0, , ,0, , , ,0.00e+00,0.00e+00,5.12e+02,37
