solver,instance,sense,timelimit,status,objval_reported,objbound,solvertime,totaltime,nodecount,filename,rel_objval_error,max_linear_violation,max_soc_violation,max_socrot_violation,max_exp_violation,max_psd_violation,max_int_violation,validator_status,validator_relobjdiff,conic_subproblem_count,conic_optimal_count,conic_infeasible_count,conic_relaxation_status,conic_subproblem_time,conic_relaxation_time,mip_subproblem_time,iteration_count
PAJ_CPLEX_MOSEK_msd,multiportfolio_socpsd_a.cbf,Min,7200.0,Optimal,-0.07598136870071243,-0.07596977216666861,0.013566017150878906,0.013996124267578125,0,PAJ_CPLEX_MOSEK_msd.multiportfolio_socpsd_a.txt, ,2.7451652062637777e-13,0.0,-Inf,-Inf,-0.0,0.0, , ,1,1,0,Optimal,3.78e-03,5.17e-03,6.67e-03, 
PAJ_CPLEX_MOSEK_msd,multiportfolio_socpsd_b.cbf,Min,7200.0,Optimal,-0.0813918944376496,-0.08139165943218116,0.05978703498840332,0.060273170471191406,0,PAJ_CPLEX_MOSEK_msd.multiportfolio_socpsd_b.txt, ,3.514202817633816e-13,0.0,-Inf,-Inf,-0.0,0.0, , ,2,2,0,Optimal,2.23e-02,1.56e-02,2.91e-02, 
PAJ_CPLEX_MOSEK_msd,multiportfolio_socpsd_c.cbf,Min,7200.0,Optimal,-0.12494163933094773,-0.12494180276806352,1.1898338794708252,1.190737009048462,736,PAJ_CPLEX_MOSEK_msd.multiportfolio_socpsd_c.txt, ,1.488045797692905e-14,0.0,-Inf,-Inf,-0.0,0.0, , ,17,17,0,Optimal,1.80e-01,1.53e-02,1.17e+00, 
PAJ_CPLEX_MOSEK_msd,multiportfolio_socpsd_d.cbf,Min,7200.0,Suboptimal,-0.13257200507386005,-0.13257447381197768,11.96762490272522,11.968247890472412,10053,PAJ_CPLEX_MOSEK_msd.multiportfolio_socpsd_d.txt, ,4.961309141293668e-14,8.822030328481389e-10,-Inf,-Inf,-0.0,0.0, , ,19,19,0,Optimal,2.93e-01,2.21e-02,1.19e+01, 
PAJ_CPLEX_MOSEK_msd,multiportfolio_socpsd_e.cbf,Min,7200.0,Optimal,-0.12863851908912427,-0.1286391082799013,0.28960704803466797,0.29030799865722656,0,PAJ_CPLEX_MOSEK_msd.multiportfolio_socpsd_e.txt, ,1.9734214262712158e-14,0.0,-Inf,-Inf,-0.0,0.0, , ,3,3,0,Optimal,1.01e-01,6.54e-02,2.05e-01, 
PAJ_CPLEX_MOSEK_msd,multiportfolio_socpsd_f.cbf,Min,7200.0,Optimal,-0.12604054456968716,-0.12604019640663683,1.951718807220459,1.9531619548797607,0,PAJ_CPLEX_MOSEK_msd.multiportfolio_socpsd_f.txt, ,4.354155924701786e-15,5.34393439222125e-9,-Inf,-Inf,-0.0,0.0, , ,3,3,0,Optimal,1.91e-01,2.59e-01,1.65e+00, 
PAJ_CPLEX_MOSEK,multiportfolio_socpsd_a.cbf,Min,7200.0,Optimal,-0.07598136870071243,-0.07597407762770383,0.013607978820800781,0.013940095901489258,NaN,PAJ_CPLEX_MOSEK.multiportfolio_socpsd_a.txt, ,2.7451652062637777e-13,0.0,-Inf,-Inf,-0.0,2.55351295663786e-15, , ,1,1,0,Optimal,3.64e-03,5.01e-03,2.81e-03,1
PAJ_CPLEX_MOSEK,multiportfolio_socpsd_b.cbf,Min,7200.0,Optimal,-0.0813918944376496,-0.08139269568963886,0.061470985412597656,0.061846017837524414,NaN,PAJ_CPLEX_MOSEK.multiportfolio_socpsd_b.txt, ,3.514202817633816e-13,0.0,-Inf,-Inf,-0.0,7.327471962526033e-15, , ,2,2,0,Optimal,1.62e-02,1.12e-02,3.01e-02,2
PAJ_CPLEX_MOSEK,multiportfolio_socpsd_c.cbf,Min,7200.0,Optimal,-0.12494163933094773,-0.12494283690745117,6.533444166183472,6.533940076828003,NaN,PAJ_CPLEX_MOSEK.multiportfolio_socpsd_c.txt, ,1.488045797692905e-14,0.0,-Inf,-Inf,-0.0,0.0, , ,5,5,0,Optimal,6.67e-02,2.11e-02,6.16e+00,6
PAJ_CPLEX_MOSEK,multiportfolio_socpsd_d.cbf,Min,7200.0,Optimal,-0.13257200507386005,-0.1325732252973308,120.43418908119202,120.4348840713501,NaN,PAJ_CPLEX_MOSEK.multiportfolio_socpsd_d.txt, ,4.961309141293668e-14,8.822030328481389e-10,-Inf,-Inf,-0.0,0.0, , ,7,7,0,Optimal,1.11e-01,2.24e-02,1.20e+02,7
