Count of status,Column Labels,,,,,,,,
Row Labels, ,ConicFailure,KilledTime,NoKnownFeasible,Optimal,Suboptimal,UserLimit,(blank),Grand Total
PAJ_NODIS_CBC_ECOS,3,,,,76,,41,,120
PAJ_NOPASS_CBC_ECOS,1,,2,,83,,34,,120
PAJ_NOPRIM_CBC_ECOS,4,1,1,11,73,4,26,,120
PAJ_NORELAX_CBC_ECOS,2,,1,,87,,30,,120
PAJ_NOSOCINIT_CBC_ECOS,,,,,82,,38,,120
PAJ_ROUND_CBC_ECOS,1,,2,,82,,35,,120
PAJ_SUBOPT-2-1_CBC_ECOS,2,,3,,88,,27,,120
PAJ_SUBOPT-2-10_CBC_ECOS,1,,4,,89,,26,,120
PAJ_SUBOPT-8-1_CBC_ECOS,1,,2,,88,,29,,120
PAJ_SUBOPT-8-10_CBC_ECOS,1,,,,89,,30,,120
(blank),,,,,,,,,
Grand Total,16,1,15,11,837,4,316,,1200
