solver,instance,status,objval_reported,objbound,solvertime,totaltime,filename,objval_solution,max_linear_violation,max_soc_violation,max_socrot_violation,validator_status,validator_objval
PAJ_SCIP_MOSEK,100_0_5_w.cbf,UserLimit,Inf,1.7239892480982672e7,3744.5047829151154,3744.513909816742,PAJ_SCIP_MOSEK.100_0_5_w.txt, , , , , , 
PAJ_SCIP_MOSEK,10_0_5_w.cbf,Optimal,1.9568712667578016e6,1.9568712667275101e6,30.80753803253174,30.808573007583618,PAJ_SCIP_MOSEK.10_0_5_w.txt,1.9568712667578014e6,1.2585974218382034e-7,0.0,6.7689582827767936e-9,Optimal,1.9568712662657667e6
PAJ_SCIP_MOSEK,150_0_5_w.cbf,KilledTime, , , , ,PAJ_SCIP_MOSEK.150_0_5_w.txt, , , , , , 
PAJ_SCIP_MOSEK,200_0_5_w.cbf,KilledTime, , , , ,PAJ_SCIP_MOSEK.200_0_5_w.txt, , , , , , 
PAJ_SCIP_MOSEK,20_0_5_w.cbf,Optimal,3.7766761183660123e6,3.776676118359459e6,198.8832070827484,198.8852241039276,PAJ_SCIP_MOSEK.20_0_5_w.txt,3.7766761183660105e6,3.949617166654207e-7,0.0,8.92630902527003e-9,Optimal,3.776676098088204e6
PAJ_SCIP_MOSEK,50_0_5_w.cbf,UserLimit,Inf,9.959381199963737e6,3662.564677000046,3662.5694150924683,PAJ_SCIP_MOSEK.50_0_5_w.txt, , , , , , 
PAJ_SCIP_MOSEK,75_0_5_w.cbf,UserLimit,Inf,1.2246866448330069e7,3690.301927089691,3690.3088188171387,PAJ_SCIP_MOSEK.75_0_5_w.txt, , , , , , 
PAJ_SCIP_MOSEK,achtziger_stolpe06-6.1flowc.cbf,Optimal,1.8563406198747103,1.8563401911222694,0.8683180809020996,0.8685829639434814,PAJ_SCIP_MOSEK.achtziger_stolpe06-6.1flowc.txt,1.8563406198747103,5.3827015067398065e-9,0.0,2.887415253180239e-17,Optimal,1.8563402244992748
PAJ_SCIP_MOSEK,achtziger_stolpe06-6.2flowc.cbf,UserLimit,48.808630491776654,47.24806639980207,3616.581817150116,3616.584000110626,PAJ_SCIP_MOSEK.achtziger_stolpe06-6.2flowc.txt,48.808630491776654,4.671093744711142e-10,0.0,9.728838844113598e-19,Optimal,48.80863010279996
PAJ_SCIP_MOSEK,achtziger_stolpe06-6.5bflowc.cbf,UserLimit,Inf,1.8503472163285455,3664.762344121933,3664.7682230472565,PAJ_SCIP_MOSEK.achtziger_stolpe06-6.5bflowc.txt, , , , , , 
PAJ_SCIP_MOSEK,achtziger_stolpe06-6.5flowc.cbf,Optimal,5.998253493344709,5.998253296927857,2536.531327009201,2536.532814025879,PAJ_SCIP_MOSEK.achtziger_stolpe06-6.5flowc.txt,5.998253493344709,3.3426707654309106e-9,0.0,1.9265666839629603e-9,Optimal,5.998253404704766
PAJ_SCIP_MOSEK,achtziger_stolpe07-5.1flowc.cbf,UserLimit,Inf,42.155886458829,3651.014528989792,3651.016720056534,PAJ_SCIP_MOSEK.achtziger_stolpe07-5.1flowc.txt, , , , , , 
PAJ_SCIP_MOSEK,achtziger_stolpe07-5.2bflowc.cbf,UserLimit,31.313709285408166,31.272376966240447,3602.2591540813446,3602.2607119083405,PAJ_SCIP_MOSEK.achtziger_stolpe07-5.2bflowc.txt,31.313709285408166,1.8279754488116527e-8,0.0,7.055895463852485e-18,Optimal,31.31370915093005
PAJ_SCIP_MOSEK,achtziger_stolpe07-5.2flowc.cbf,Optimal,49.1406130468617,49.14061143537529,262.750519990921,262.75092601776123,PAJ_SCIP_MOSEK.achtziger_stolpe07-5.2flowc.txt,49.1406130468617,1.794182136194422e-8,0.0,4.763799999223541e-16,Optimal,49.14061402639913
